"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106
001","","15","2.300","6.7",".","40.0","6.7","20.0","26.7",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112
001","","242","3.471","34.3","41.3","15.3","6.6","1.2","0.4","0.8",".",".",".",".",".",".",".",".","."
"","120
001","","27","3.222","14.8","37.0","37.0","7.4",".","3.7",".",".",".",".",".",".",".",".",".","."
"","120
002","","25","2.917","12.0","20.0","32.0","12.0","16.0","4.0",".",".",".",".",".",".",".",".","4.0","."
"Global Phys Environments","Course Total","","52","3.078","13.5","28.8","34.6","9.6","7.7","3.8",".",".",".",".",".",".",".",".","1.9","."
"Atmspherc Envirnmnt&Society","121
001","","25","2.860","32.0","4.0","28.0","8.0","16.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126
001","","39","3.487","43.6","15.4","35.9","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001","","11","2.364","18.2",".","18.2","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".","."
"","127
002","","10","3.050","60.0",".","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","Course Total","","21","2.690","38.1",".","14.3","14.3","14.3","9.5","9.5",".",".",".",".",".",".",".",".","."
"Resources and People","139
001","","24","3.146","20.8","25.0","29.2","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Environmental Management","300
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","","10","3.444","30.0","40.0",".","20.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"Elec-op&Micro Remote Sensng","302
001","","9","3.188","33.3",".","33.3","11.1","11.1",".",".",".",".",".",".",".",".","11.1",".","."
"Remote Sensng Digtl Image","303
001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Remote Sensng Vis Image&GIS","304
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307
001","","31","3.355","25.8","45.2","19.4","6.5",".",".","3.2",".",".",".",".",".",".",".",".","."
"","339
001","","41","3.088","26.8","22.0","19.5","9.8","17.1",".","2.4","2.4",".",".",".",".",".",".",".","."
"","339
002","","40","2.988","17.5","22.5","27.5","15.0","12.5","5.0",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","","81","3.038","22.2","22.2","23.5","12.3","14.8","2.5","1.2","1.2",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","","19","3.103","36.8","15.8","10.5",".","10.5","10.5",".","15.8",".",".",".",".",".",".",".","."
"Clmatic Prin-Engr&Envr Dsgn","362
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Ecology Workshop","375
001","","21","3.643","61.9","23.8","9.5",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
002","","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","400
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
400","","28","3.470","39.3","21.4","21.4","7.1","3.6",".",".","7.1",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","Course Total","","39","3.553","48.7","15.4","17.9","5.1","2.6",".",".","10.3",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Photogrammetry","405
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Minerals - A Public Problem","410
001","","16","3.250","18.8","25.0","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","","32","3.547","59.4","9.4","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","441
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","Course Total","","34","3.529","55.9","11.8","20.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461
001","","25","3.354","24.0","32.0","32.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0"
"Sci Bckgrnd-Globl Envr Prob","472
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Chemicals, Envrnmnt","507
001","","15","3.133","13.3","6.7","73.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 150 of 375",""
