"EGR","","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2344","3.175","30.0","19.2","21.3","11.1","8.7","2.2","1.5","4.9","0.1",".","",".","0.6","",".","0.1",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","2.673","14.1","18.5","20.7","13.0","13.0","3.3","8.7","7.6",".",".","",".",".","",".",".",".","1.1"
"Sophomore","","247","3.001","21.5","24.3","23.1","13.0","8.9","2.8","2.4","4.0",".",".","",".",".","",".",".",".","."
"Junior","","508","2.902","24.0","16.5","24.8","14.4","12.6","3.7","2.8","1.2",".",".","",".",".","",".",".",".","."
"Senior","","975","3.053","21.3","22.4","27.2","14.4","10.5","2.3","0.8","0.6",".",".","",".",".","",".","0.2",".","0.4"
"Undergraduates","","1822","2.990","21.7","20.8","25.6","14.1","11.0","2.8","2.0","1.6",".",".","",".",".","",".","0.1",".","0.3"
"Special","","30","3.600","43.3","23.3","20.0","3.3",".",".",".",".",".",".","",".",".","",".",".",".","10.0"
"Graduate","","493","3.829","60.0","12.8","5.3","0.6","0.8","0.2",".","17.2","0.4",".","",".","2.6","",".",".",".","."
"","Dept. Total","2345","3.175","30.1","19.1","21.3","11.1","8.7","2.2","1.5","4.9","0.1",".","",".","0.6","",".","0.1",".","0.3"
