"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","12","3.292","33.3","25.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","101
004","21","3.667","71.4","9.5","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","006
101","19","3.553","52.6","36.8",".",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","101
008","22","3.318","54.5","13.6","18.2","4.5",".",".","9.1",".",".",".",".",".",".",".",".","."
"","101
010","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","17","3.441","23.5","52.9","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","17","3.267","47.1","23.5","5.9",".",".",".","11.8","11.8",".",".",".",".",".",".",".","."
"First Semester French","Course Total","124","3.480","51.6","25.0","8.9","6.5","2.4","0.8","3.2","1.6",".",".",".",".",".",".",".","."
"","102
001","20","3.250","35.0","15.0","25.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.614","50.0","31.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","004
102","24","3.167","20.8","33.3","25.0","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","006
102","24","3.583","58.3","20.8","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","102
008","15","3.567","46.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","010
102","22","3.136","27.3","22.7","18.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","011
102","19","2.889","15.8","31.6","15.8","10.5","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".","."
"","012
102","19","3.156","15.8","36.8","10.5","10.5","5.3","5.3",".","10.5",".",".",".",".",".","5.3",".","."
"Second Semester French","Course Total","165","3.301","33.9","27.9","16.4","10.3","5.5","3.0","0.6","1.8",".",".",".",".",".","0.6",".","."
"","203
001","11","3.136","18.2","36.4","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","203
003","15","3.500","40.0","33.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
004","14","3.429","28.6","42.9","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","203
006","24","3.417","25.0","50.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
008","17","3.088","23.5","29.4","23.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","203
010","23","3.214","34.8","17.4","21.7","4.3","8.7",".","4.3","8.7",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","104","3.304","28.8","34.6","21.2","3.8","6.7","1.0","1.9","1.9",".",".",".",".",".",".",".","."
"","204
004","16","3.438","25.0","50.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","006
204","19","3.000","26.3","21.1","26.3",".","21.1",".","5.3",".",".",".",".",".",".",".",".","."
"","204
007","18","3.667","50.0","44.4",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","009
204","14","3.429","42.9","28.6","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","011
204","19","3.237","26.3","21.1","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","86","3.343","33.7","32.6","19.8","3.5","8.1","1.2","1.2",".",".",".",".",".",".",".",".","."
"","003
227","12","3.500","33.3","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"","227
004","16","2.969",".","43.8","18.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","28","3.185","14.3","39.3","17.9","17.9","7.1",".",".",".",".",".",".",".",".","3.6",".","."
"","228
001","25","3.537","44.0","28.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","13","3.707","53.8","23.1","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","228
004","22","3.344","31.8","31.8","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"","228
005","14","3.440","35.7","28.6","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","74","3.484","40.5","28.4","17.6","9.5","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"","271
001","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","21","3.357","42.9","33.3","4.8","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","271
004","26","3.462","38.5","42.3","7.7","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","86","3.529","45.3","34.9","11.6","3.5","2.3","1.2","1.2",".",".",".",".",".",".",".",".","."
"3rd Sem French-Honors","001
283","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","284
001","14","3.393","42.9","28.6","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 206 of 375",""
