"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"","101","001","84","3.185","13.1","28.6","44.0","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","101","002","48","3.156","20.8","31.3","22.9","16.7","6.3",".","2.1",".",".",".",".",".",".",".",".","."
"Amer Hist to Civil War Era","","Course Total","132","3.174","15.9","29.5","36.4","12.9","4.5",".","0.8",".",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","368","3.165","16.0","30.4","30.4","13.9","4.1","0.5","1.1","3.3",".",".",".",".",".","0.3",".","."
"The Ancient Mediterranean","110","001","138","3.234","20.3","30.4","27.5","14.5","4.3","1.4",".","0.7",".",".",".",".",".","0.7",".","."
"Medieval Europe 410-1500","115","001","106","2.821","7.5","16.0","41.5","9.4","19.8","2.8","0.9","1.9",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","80","3.215","12.5","38.8","31.3","13.8",".",".","1.3","2.5",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","72","2.930","12.5","18.1","31.9","18.1","12.5","1.4","1.4","2.8",".",".",".",".",".",".","1.4","."
"History-S Asia to Present","142","001","47","3.345","29.8","29.8","25.5","6.4","4.3",".","2.1",".",".",".",".",".",".",".",".","2.1"
"Directed Study","199","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Studies","200","092","10","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","201","001","47","3.022","8.5","36.2","27.7","14.9","6.4","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"","201","002","47","3.000","19.1","23.4","14.9","19.1","17.0","2.1",".","4.3",".",".",".",".",".",".",".","."
"","201","003","25","2.540","4.0","4.0","40.0","16.0","32.0",".","4.0",".",".",".",".",".",".",".",".","."
"Special Topics-Amer History","","Course Total","119","2.909","11.8","24.4","25.2","16.8","16.0","1.7","1.7","2.5",".",".",".",".",".",".",".","."
"","202","001","16","3.333","12.5","37.5","43.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","202","201","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-European Hist","","Course Total","18","3.353","11.1","44.4","38.9",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","203","001","12","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203","002","10","3.375","10.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".","20.0",".","."
"Spec Topics-3rd World Hist","","Course Total","22","3.350","13.6","40.9","31.8","4.5",".",".",".",".",".",".",".",".",".","9.1",".","."
"Westrn Relig&Intellect Hist","208","001","56","3.273","25.0","21.4","44.6","3.6","1.8",".","1.8",".",".",".",".",".",".",".",".","1.8"
"Modern Latin America","242","001","47","3.207","14.9","40.4","23.4","8.5","10.6",".",".",".",".",".",".",".",".","2.1",".","."
"Col,Natn&Minrty:PuertoRican","243","001","63","3.108","12.7","36.5","22.2","9.5","12.7","1.6",".","4.8",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","43","3.407","25.6","46.5","16.3","7.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","25","2.833","16.0","32.0","16.0","16.0",".","8.0","8.0","4.0",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","27","3.630","63.0","22.2","3.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","54","3.602","37.0","46.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Am Thought 1859-Pres","302","001","59","3.065","16.9","18.6","40.7","15.3","6.8",".","1.7",".",".",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","29","3.415","37.9","31.0","13.8","3.4","3.4",".","3.4","3.4",".",".",".",".",".","3.4",".","."
"Medvl Crusade: Fact&Fantasy","309","001","57","2.746","8.8","15.8","33.3","15.8","15.8","3.5","3.5","3.5",".",".",".",".",".",".",".","."
"Social&Intel Hist 1200-1450","318","001","59","3.255","35.6","13.6","28.8","10.2","1.7","1.7","1.7","5.1",".",".",".",".",".","1.7",".","."
"Amer Constutnl & Legal Dev","331","001","80","3.154","18.8","25.0","38.8","10.0","1.3","1.3","2.5","1.3",".",".",".",".",".",".",".","1.3"
"Hist-China 1400 BC-589 AD","336","001","41","3.156","14.6","31.7","26.8","17.1","2.4","2.4",".",".",".",".",".",".",".",".",".","4.9"
"Hist-Modern China,1800-1949","341","001","54","3.382","29.6","27.8","27.8","1.9","3.7",".","1.9","7.4",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","62","3.088","12.9","22.6","38.7","17.7","3.2","1.6",".","3.2",".",".",".",".",".",".",".","."
"Seventeenth-Century Europe","351","001","53","3.286","28.3","22.6","35.8","1.9","7.5","1.9",".","1.9",".",".",".",".",".",".",".","."
"Women-Amer Society to 1870","353","001","34","3.464","23.5","52.9","11.8","2.9",".","2.9",".","5.9",".",".",".",".",".",".",".","."
"History-Europe Since 1945","359","001","48","3.033","8.3","31.3","22.9","20.8","10.4",".",".","6.3",".",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","001","53","3.303","24.5","22.6","30.2","13.2",".",".",".","7.5",".",".",".",".",".",".",".","1.9"
"Hist of Africa Since 1870","378","001","60","3.081","23.3","23.3","28.3","13.3","5.0",".","5.0","1.7",".",".",".",".",".",".",".","."
