"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"United States 1914-1945","397","001","120","3.136","15.8","32.5","27.5","10.8","5.0","3.3","0.8","2.5",".",".",".",".",".","1.7",".","."
"The US Since 1945","398","001","65","3.293","23.1","41.5","18.5","6.2","1.5",".","3.1","4.6",".",".",".",".",".",".","1.5","."
"Amer Urban Hist Since 1870","402","001","148","3.238","12.8","38.5","30.4","11.5","2.7",".",".","4.1",".",".",".",".",".",".",".","."
"Ethnicity-20th Century Amer","404","001","85","2.841","17.6","14.1","12.9","28.2","22.4",".","1.2",".",".",".",".",".",".","2.4",".","1.2"
"Hist of American Technology","411","001","11","2.895","36.4","18.2",".","36.4",".",".","9.1",".",".",".",".",".",".",".",".","."
"History-American Education","412","001","63","2.841","11.1","11.1","30.2","30.2","17.5",".",".",".",".",".",".",".",".",".",".","."
"History of Russia","418","001","62","3.131","22.6","21.0","43.5","8.1",".",".","4.8",".",".",".",".",".",".",".",".","."
"Russian Revolutns,1905-1921","421","001","60","3.121","16.7","20.0","40.0","16.7","5.0",".",".","1.7",".",".",".",".",".",".",".","."
"Hist Poland & Baltic Area","425","001","28","3.256","17.9","32.1","28.6","17.9",".",".",".",".",".",".",".",".",".",".",".","3.6"
"Amer Foreign Rel-1901 on","434","001","118","3.208","19.5","23.7","36.4","12.7","4.2",".",".","1.7",".",".",".",".",".","0.8",".","0.8"
"Pol & State Medieval Islam","435","001","44","3.360","25.0","29.5","38.6","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","43","3.067","11.6","18.6","53.5","7.0","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"History of West Africa","443","001","20","3.187","15.0","30.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"History of Southern Africa","446","001","41","3.132","17.1","26.8","29.3","14.6","9.8",".",".","2.4",".",".",".",".",".",".",".","."
"Japan Mod Century:1853-1952","455","001","27","2.851","14.8","33.3","14.8","14.8","3.7","11.1","3.7","3.7",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","57","2.936","8.8","22.8","31.6","26.3","8.8","1.8",".",".",".",".",".",".",".",".",".","."
"","500","001","14","3.077","14.3","7.1","57.1","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","500","002","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","003","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","33","3.422","36.4","18.2","36.4","3.0","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mid E & Balkans 1200-1600","539","001","17","3.596","64.7","5.9","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"Hist of Mass Communication","560","001","20","2.895",".","40.0","20.0","20.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Scand&Intl Relatns","578","001","15","3.520","33.3","33.3","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","600","001","15","3.300","26.7","40.0","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","600","002","15","3.233","20.0","26.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","23","3.500","26.1","52.2","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","15","3.607","46.7","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","600","007","15","3.400","40.0","40.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","600","008","18","3.472","38.9","50.0","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","600","009","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","16","3.594","50.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","23","3.000","26.1","17.4","30.4","17.4",".",".","8.7",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","168","3.409","33.3","37.5","17.9","6.0","3.0",".","1.8",".",".",".",".",".",".",".",".","0.6"
"Afro-Am Hist Since 1900","636","001","20","3.316","30.0","45.0","5.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","5.0"
"History of Books&Printing","671","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 221 of 375",""
