"Intro Archaeol-Native N Am","208
001","","41","2.878","9.8","12.2","48.8","12.2","12.2","4.9",".","",".",".","",".",".","",".","",".","",".",".","."
"Archaeology-Western N Amer","356
001","","7","3.929","85.7","14.3",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","450
002","","36","3.779","58.3","30.6","5.6",".",".",".",".","","5.6",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
003","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AMER IND
140","Dept. Total","","86","3.348","37.2","19.8","26.7","5.8","5.8","2.3","",".","2.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","15","2.933","33.3",".","40.0",".","13.3","13.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","16","2.967",".","25.0","56.3","6.3","12.5",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","22","3.432","40.9","22.7","22.7","9.1","4.5",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","26","3.680","53.8","26.9","11.5","3.8",".",".","",".","3.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","79","3.323","35.4","20.3","29.1","5.1","6.3","2.5","",".","1.3","",".",".","",".","",".","",".",".",".","."
"Special","","","4","3.500","50.0",".",".","25.0",".",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","3","3.833","66.7","33.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","86","3.348","37.2","19.8","26.7","5.8","5.8","2.3","",".","2.3","",".",".","",".","",".","",".",".",".","."
