"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"341
Immunology","001","","164","3.357","45.7","15.9","18.9","11.6","4.9","1.8","1.2",".",".",".",".",".",".",".",".","."
"350
Parasitology","001","","56","2.782","14.3","7.1","32.1","14.3","28.6","1.8",".","1.8",".",".",".",".",".",".",".","."
"351
Parasitology Laboratory","001","","12","3.250","33.3",".","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"410
Medical Mycology","001","","28","3.536","50.0","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","11","3.364","45.5","18.2","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","50","2.909","16.0","18.0","28.0","18.0","6.0","8.0","4.0","2.0",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","43","2.686","7.0","16.3","18.6","23.3","34.9",".",".",".",".",".",".",".",".",".",".","."
"677","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","7","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","30","3.875","83.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Topics in Immunology","001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Biomolecular Parasitology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790
Immunol-Infectious Disease","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Journal Club","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"901
Seminar","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","3.657","80.0",".","6.7",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
