"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","39","3.949","92.3","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","","18","2.611","22.2","5.6","22.2","27.8","5.6","5.6","11.1",".",".",".",".",".",".",".",".","."
"","160
002","","21","2.810","19.0","42.9","4.8","4.8","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","160
004","","19","2.658","15.8","26.3","10.5","31.6",".",".","15.8",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","","58","2.698","19.0","25.9","12.1","20.7","6.9","1.7","13.8",".",".",".",".",".",".",".",".","."
"","170
001","","22","3.091","27.3","36.4","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","170
002","","21","3.167","28.6","19.0","33.3","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","170
004","","23","3.630","56.5","26.1","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","","66","3.303","37.9","27.3","19.7","3.0","7.6","1.5","3.0",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","001
231","","141","2.796","16.3","19.1","21.3","15.6","18.4","5.7","2.8","0.7",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","232
001","","88","3.122","22.7","21.6","20.5","25.0","6.8","1.1",".",".",".",".",".",".",".",".",".","2.3"
"","240
002","","13","3.115","30.8","15.4","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","240
003","","20","3.025","10.0","15.0","50.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","240
004","","20","2.750",".","25.0","40.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","240
005","","18","2.472","5.6","27.8","11.1","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","71","2.824","9.9","21.1","31.0","22.5","7.0","5.6","2.8",".",".",".",".",".",".",".",".","."
"Pictorial Graphics","262
001","","12","3.455","25.0","33.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","291
006","","9","3.063","11.1","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".","11.1",".","."
"","291
007","","31","3.000",".","12.9","12.9",".","3.2",".",".","71.0",".",".",".",".",".",".",".","."
"","291
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","","44","3.205","9.1","11.4","18.2","4.5","2.3",".",".","50.0",".",".",".",".",".","2.3",".","2.3"
"","299
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","306
001","","23","3.174","13.0","30.4","43.5","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","306
002","","14","2.571","21.4","14.3","28.6",".","14.3","7.1","14.3",".",".",".",".",".",".",".",".","."
"","306
003","","17","2.824","17.6","17.6","17.6","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","004
306","","23","3.239","30.4","21.7","26.1","17.4",".","4.3",".",".",".",".",".",".",".",".",".","."
"","306
005","","21","2.929","28.6","19.0","14.3","4.8","23.8","9.5",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","98","2.990","22.4","21.4","26.5","9.2","13.3","5.1","2.0",".",".",".",".",".",".",".",".","."
"","001
307","","18","3.306","33.3","33.3","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","002
307","","17","3.313","41.2","5.9","23.5","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","003
307","","12","2.875","16.7","8.3","50.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","004
307","","18","3.444","33.3","38.9","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","","19","3.263","21.1","15.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","89","3.227","29.2","21.3","30.3","10.1","4.5","2.2","1.1","1.1",".",".",".",".",".",".",".","."
"","313
001","","36","3.208","5.6","44.4","36.1","13.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
313","","33","3.197","15.2","39.4","21.2","18.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","34","3.029","11.8","23.5","38.2","23.5",".",".","2.9",".",".",".",".",".",".",".",".","."
