"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","228","3.093","20.2","21.1","31.1","16.7","7.9",".","1.8","1.3",".","",".",".","",".","",".","",".",".","."
"","200
002","234","3.004","24.8","18.8","19.7","15.4","16.2","1.7","2.1","1.3",".","",".",".","",".","",".","",".",".","."
"International Business","Course Total","462","3.048","22.5","19.9","25.3","16.0","12.1","0.9","1.9","1.3","",".",".","",".","",".","",".",".",".","."
"Reading & Research-Intl Bus","399
201","8","3.118","12.5","25.0","37.5","12.5","12.5",".",".",".",".","",".",".","",".","",".","",".",".","."
"PhD Thesis-Intl Business","990
006","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","471","3.051","22.5","20.0","25.5","15.9","12.1","0.8","1.9","1.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","2.125",".","12.5","12.5","12.5","50.0",".","12.5",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","110","2.895","13.6","20.0","26.4","19.1","19.1",".","1.8",".","",".",".","",".","",".","",".",".",".","."
"Junior","","177","3.092","23.2","21.5","26.0","16.4","10.2","2.3","0.6",".","",".",".","",".","",".","",".",".",".","."
"Senior","","167","3.129","26.9","19.8","25.1","14.4","8.4",".","3.0","2.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","462","3.041","21.9","20.3","25.5","16.2","12.3","0.9","1.9","0.9","",".",".","",".","",".","",".",".",".","."
"Special","","8","3.667","50.0",".","25.0",".",".",".",".","25.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","471","3.051","22.5","20.0","25.5","15.9","12.1","0.8","1.9","1.3","",".",".","",".","",".","",".",".",".","."
