"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
002","45","3.056","6.7","17.8","62.2","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","91","3.049","8.8","13.2","64.8","5.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"","001
406","52","3.058","19.2","13.5","34.6","25.0","7.7",".",".",".",".",".",".",".",".",".",".","."
"","406
002","44","3.091","25.0","11.4","34.1","15.9","13.6",".",".",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","96","3.073","21.9","12.5","34.4","20.8","10.4",".",".",".",".",".",".",".",".",".",".","."
"","603
001","32","3.531","40.6","43.8","12.5",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"","002
603","21","3.529","33.3","19.0","28.6",".",".",".",".","14.3",".",".",".",".",".","4.8",".","."
"Analysis-Financial Reports","Course Total","53","3.531","37.7","34.0","18.9",".",".",".","1.9","5.7",".",".",".",".",".","1.9",".","."
"","001
620","31","3.276","41.9","16.1","6.5","16.1","9.7","3.2",".","6.5",".",".",".",".",".",".",".","."
"","620
002","48","3.094","37.5","18.8","18.8","4.2","6.3","14.6",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","79","3.162","39.2","17.7","13.9","8.9","7.6","10.1",".","2.5",".",".",".",".",".",".",".","."
"Income Tax Accounting II","621
001","18","3.531","27.8","38.9","22.2",".",".",".",".","5.6",".",".",".",".",".","5.6",".","."
"","630
001","42","3.317","28.6","19.0","40.5","4.8","4.8",".",".","2.4",".",".",".",".",".",".",".","."
"","002
630","45","3.167","28.9","13.3","28.9","20.0","8.9",".",".",".",".",".",".",".",".",".",".","."
"","630
003","31","3.194","19.4","25.8","38.7","6.5","9.7",".",".",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","118","3.226","26.3","18.6","35.6","11.0","7.6",".",".","0.8",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","33","3.439","36.4","18.2","42.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","13","3.231","30.8","7.7","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","36","3.653","50.0","30.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","21","3.571","47.6","19.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","57","3.623","49.1","26.3","24.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","16","3.469","12.5","68.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting Theory","001
770","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","3","***","","","","","","","","","","","","","","","",""
"","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","971
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","Course Total","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
069","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","10","4.000","60.0",".",".",".",".",".",".","10.0","20.0",".",".","10.0",".",".",".","."
