"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"","115
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
115","","19","3.816","84.2","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","115
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
115","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","","9","3.444","77.8",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","115
008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
010","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"","011
115","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","","84","3.849","84.5","8.3","3.6",".","1.2",".","1.2",".",".",".",".",".",".",".",".","1.2"
"Prep Pupils for Work-El/Mid","364
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","15","3.950","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".","."
"Prep Stdts for Work-2nd Lvl","Course Total","","34","3.948","76.5","8.8",".",".",".",".",".",".",".",".",".",".",".","14.7",".","."
"Theory & Prac-Interviewing","650
001","","109","3.949","89.0","8.3","0.9",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Independent Reading","699
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Counseling Profession","Course Total","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess Tech-Couns Psych","890
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum: Supervision","902
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshp-Counseling&Guidance","920
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Leg&Ethicl Base-Couns Psych","001
926","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch: Group Intervention","952
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
990","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".","9.1",".",".",".","."
