"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"","100","001","125","2.661","12.8","18.4","10.4","29.6","18.4","6.4","3.2",".",".",".",".",".",".","0.8",".","."
"","100","002","103","2.657","19.4","12.6","19.4","14.6","18.4","9.7","4.9","1.0",".",".",".",".",".",".",".","."
"","100","003","150","2.277","10.7","6.0","14.7","4.0","49.3","11.3","4.0",".",".",".",".",".",".",".",".","."
"Weather and Climate","","Course Total","378","2.507","13.8","11.9","14.6","15.3","30.7","9.3","4.0","0.3",".",".",".",".",".","0.3",".","."
"Weather and Climate","101","001","131","2.815","9.2","19.1","35.9","17.6","9.2","6.1","2.3","0.8",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","21","2.588","19.0","19.0","33.3","9.5",".",".","19.0",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","55","3.019","27.3","12.7","29.1","5.5","16.4","3.6","1.8","3.6",".",".",".",".",".",".",".","."
"Weather for Sailors","161","001","53","3.519","43.4","34.0","13.2","3.8","1.9",".","1.9","1.9",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","34","3.147","20.6","20.6","35.3","20.6",".","2.9",".",".",".",".",".",".",".",".",".","."
"Atmospheric Science II","322","001","12","2.958","16.7","16.7","33.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"Clmatic Prin-Engr&Envr Dsgn","362","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","19","3.395","21.1","36.8","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospheric Technology","454","001","8","3.500","37.5","25.0","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","9","2.944","11.1","11.1","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Boundary Layer Meteorology","603","001","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","16","3.563","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Atmospheric Sys","650","001","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Synoptic-Dynamic Laboratory","651","001","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","029","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","","Course Total","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.382","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Smr-Regional Meteorology","903","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar Upper Atmosphere","905","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Climatology","910","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
