"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"","990
029","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
046","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
083","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
111","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","Course Total","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".","",".","",".","",".",".",".","."
"","999
015","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
021","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Work","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","3464","2.776","19.0","15.8","19.6","15.0","16.3","7.2","2.5","4.2","0.1",".","",".","",".","",".","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","757","2.387","10.2","10.3","17.0","18.4","24.3","15.2","4.1","0.3",".",".","",".","",".","",".","0.3",".","."
"Sophomore","","879","2.767","15.9","17.6","19.7","18.2","19.0","6.8","2.2","0.5",".",".","",".","",".","",".","0.1",".","."
"Junior","","631","2.840","20.6","16.8","20.8","15.7","16.0","6.0","2.7","0.8",".",".","",".","",".","",".","0.6",".","."
"Senior","","716","2.875","20.9","16.2","21.6","15.4","15.1","5.2","2.5","2.5","0.3",".","",".","",".","",".","0.1",".","0.1"
"Undergraduates","","2983","2.709","16.7","15.3","19.7","17.0","18.8","8.4","2.8","1.0","0.1",".","",".","",".","",".","0.3",".","0.0"
"Special","","31","3.349","41.9","12.9","16.1","12.9","6.5","3.2",".","6.5",".",".","",".","",".","",".",".",".","."
"Graduate","","448","3.527","33.0","19.6","18.8","1.6","0.7",".","0.2","25.2","0.2",".","",".","",".","",".",".",".","0.7"
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","2.000",".",".",".",".","100.0",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","3464","2.776","19.0","15.8","19.6","15.0","16.3","7.2","2.5","4.2","0.1",".","",".","",".","",".","0.2",".","0.1"
