"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"","699
084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","34","3.740","67.6","17.6","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Rsch: Non-Literate Soc","774
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Medieval History","805
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies in Economic History","822
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Mod Britain & Ireland","837
001","","11","3.833","54.5","27.3",".",".",".",".",".","9.1",".",".",".",".",".",".",".","9.1"
"Smr-Rus Emp & Mod Se Eur","849
001","","11","3.897","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Smr-Ottoman & Mid E Hist","001
851","","9","3.875","22.2","11.1",".",".",".",".",".","44.4",".",".",".",".",".",".",".","22.2"
"Seminar-History of Africa","861
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Soc Hist Modern Europe","866
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl-Quan-Meth-Hist Rsch","875
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","891
001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","891
003","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Prosem-Mod European History","Course Total","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","5.9"
"","901
001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","901
002","","13","3.958","84.6","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","901
003","","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in American History","Course Total","","36","3.857","77.8","13.9","2.8","2.8",".",".",".","2.8",".",".",".",".",".",".",".","."
"Rsch Smr: American History","902
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem-History of Education","906
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Rsch Hist of Mass Com","919
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in Comparative History","952
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Latin American Area","982
001","","13","3.838","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","008
990","","12","4.000","58.3",".",".",".",".",".",".","33.3",".",".",".","8.3",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".","16.7",".",".",".","."
"","990
015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","","8","4.000","12.5",".",".",".",".",".",".","75.0",".",".",".","12.5",".",".",".","."
"","990
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","8","4.000","12.5",".",".",".",".",".",".","37.5",".",".",".","50.0",".",".",".","."
"","990
020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","022
990","","6","4.000","33.3",".",".",".",".",".",".","33.3",".",".",".","33.3",".",".",".","."
"","990
023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
