"","999
008","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
010","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
025","4","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"HDFS
230","Dept. Total","999","3.337","33.5","21.8","22.0","6.6","5.3","1.3","0.6","0.9","",".","7.1","",".","0.3","",".","0.3",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","199","3.033","16.1","24.6","32.2","12.1","10.6","3.5","0.5","0.5","",".",".","",".",".","",".",".",".","."
"Junior","","309","3.309","29.8","22.7","28.5","7.4","5.2",".","1.0",".","",".","5.5","",".",".","",".",".",".","."
"Senior","","395","3.440","36.7","21.0","16.5","4.6","3.3","1.5","0.5","1.5","",".","13.7","",".",".","",".","0.8",".","."
"Undergraduates","","904","3.294","29.8","22.5","24.0","7.2","5.5","1.4","0.7","0.8","",".","7.9","",".",".","",".","0.3",".","."
"Special","","5","3.100","20.0","20.0","40.0",".","20.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","90","3.820","72.2","15.6","1.1","1.1","2.2",".",".","2.2","",".",".","",".","3.3","",".",".",".","2.2"
"","Dept. Total","999","3.337","33.5","21.8","22.0","6.6","5.3","1.3","0.6","0.9","",".","7.1","",".","0.3","",".","0.3",".","0.2"
