"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","97","3.222","32.0","22.7","23.7","7.2","12.4","1.0","1.0",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","87","3.057","16.1","32.2","23.0","13.8","11.5","2.3","1.1",".",".",".",".",".",".",".",".","."
"General Botany","130","001","197","2.792","23.4","9.1","22.8","12.2","24.9","5.1","2.5",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133","001","38","2.408","7.9","10.5","10.5","28.9","31.6","5.3","5.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","151","001","30","2.414","6.7","3.3","36.7","3.3","33.3","10.0","3.3",".",".",".",".",".",".","3.3",".","."
"","152","001","10","3.250","40.0",".","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","152","002","19","2.816","10.5","10.5","31.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","29","2.966","20.7","6.9","34.5","20.7","17.2",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","92","3.098","32.6","8.7","30.4","10.9","14.1","2.2","1.1",".",".",".",".",".",".",".",".","."
"Principles-Plant Structure","305","001","14","3.214","28.6","21.4","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Plant Physiology","350","001","13","3.500","46.2","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","51","3.304","47.1","11.8","25.5","2.0","7.8","3.9","2.0",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","13","2.962","23.1",".","61.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Plant Geography","422","001","32","3.609","59.4","25.0","9.4","3.1",".",".","3.1",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","18","3.194","33.3","16.7","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Genetics","466","001","11","2.591","18.2","9.1","27.3","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"Intro to Systems Biology","468","001","24","3.565","45.8","16.7","33.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Plant Physiology","500","001","33","3.235","18.2","48.5","21.2","3.0","3.0","3.0","3.0",".",".",".",".",".",".",".",".","."
"Introductory Cytogenetics","561","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","575","001","14","3.818","50.0","28.6",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Smr-Biol,Soc&Human Values","590","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Pathogenic Fungi","620","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Directed Study","698","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Lake Ecosystems","725","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physiological Plant Ecology","802","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Plant Ecology","828","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Oceanography&Limnology Smr","911","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Ecology","950","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Physiology","960","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
