"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","132","3.282","36.4","20.5","18.2","14.4","8.3","1.5",".",".",".",".",".",".",".",".",".","0.8"
"","300
002","252","3.257","25.0","21.8","40.1","6.3","5.6","0.8",".",".",".",".",".",".",".",".","0.4","."
"","003
300","43","3.000","16.3","23.3","32.6","9.3","14.0","4.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","427","3.239","27.6","21.5","32.6","9.1","7.3","1.4",".",".",".",".",".",".",".",".","0.2","0.2"
"Finc Mrkts,Instns&Econ Actv","305
001","54","2.796","14.8","16.7","24.1","16.7","22.2","3.7","1.9",".",".",".",".",".",".",".",".","."
"","320
001","42","3.313","23.8","23.8","35.7","11.9",".",".",".","4.8",".",".",".",".",".",".",".","."
"","002
320","66","3.092","24.2","13.6","31.8","13.6","15.2",".",".","1.5",".",".",".",".",".",".",".","."
"Investments","Course Total","108","3.176","24.1","17.6","33.3","13.0","9.3",".",".","2.8",".",".",".",".",".",".",".","."
"","002
325","76","3.316","22.4","35.5","28.9","11.8",".","1.3",".",".",".",".",".",".",".",".",".","."
"","003
325","28","2.944","14.3","10.7","39.3","21.4","7.1","3.6",".",".",".",".",".",".",".","3.6",".","."
"Corporation Finance","Course Total","104","3.218","20.2","28.8","31.7","14.4","1.9","1.9",".",".",".",".",".",".",".","1.0",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","3","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","59","2.991","13.6","18.6","42.4","3.4","18.6","1.7",".",".",".",".",".",".",".","1.7",".","."
"Multinational Bus Finance","445
001","62","3.350","30.6","22.6","33.9","3.2","6.5",".",".","3.2",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","536
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
001","39","3.397","35.9","20.5","33.3","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","630
002","50","3.316","26.0","28.0","28.0","14.0","2.0",".",".",".",".",".",".",".",".","2.0",".","."
"Options & Financial Futures","Course Total","89","3.352","30.3","24.7","30.3","11.2","2.2",".",".",".",".",".",".",".",".","1.1",".","."
"","635
001","33","3.091","6.1","33.3","39.4","15.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"","635
002","25","3.380","44.0","16.0","32.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","58","3.216","22.4","25.9","36.2","10.3","3.4",".","1.7",".",".",".",".",".",".",".",".","."
"","001
700","39","3.577","28.2","59.0","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","28","3.500","35.7","32.1","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","67","3.545","31.3","47.8","19.4","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","39","3.434","30.8","35.9","17.9","12.8",".",".",".","2.6",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
002","27","3.519","33.3","37.0","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","18","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
002","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","3","***","","","","","","","","","","","","","","","",""
"Adv Derivative Securities","830
001","20","3.765","55.0","20.0","10.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 56 of 375"
