"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","209","3.139","24.4","23.0","24.4","16.3","10.5","1.0","0.5",".",".",".",".",".",".",".",".","."
"","301
002","38","3.608","68.4","10.5","10.5","2.6",".","2.6","2.6",".",".",".",".",".",".","2.6",".","."
"Human Abilities & Learning","Course Total","247","3.209","31.2","21.1","22.3","14.2","8.9","1.2","0.8",".",".",".",".",".",".","0.4",".","."
"","320
001","135","3.347","35.6","17.0","28.1","14.1","2.2","0.7",".","2.2",".",".",".",".",".",".",".","."
"","320
002","116","2.900","13.8","21.6","24.1","19.0","17.2","2.6","0.9",".",".",".",".",".",".",".","0.9","."
"Human Dev-Infancy&Childhood","Course Total","251","3.133","25.5","19.1","26.3","16.3","9.2","1.6","0.4","1.2",".",".",".",".",".",".","0.4","."
"Human Develop-Adolescence","321
001","194","3.255","41.8","8.8","26.3","4.6","12.9","1.5","0.5","2.1",".",".",".",".",".","0.5",".","1.0"
"Adolscnt Develp-Educ Contxt","521
001","39","3.590","43.6","46.2","7.7",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","4","***","","","","","","","","","","","","","","","",""
"The Study of Teaching","708
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Development","720
001","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Proc Across Life Span","723
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab-Developmental Research","731
001","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","760
001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","35","3.600","45.7","28.6","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","14","3.615","57.1",".","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","49","3.604","49.0","20.4","28.6",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Construction","771
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","15","3.885","66.7","20.0",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796
001","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Child Development","920
002","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Child,Adoles&Fam Psychother","947
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 96 of 375"
