"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","43","3.163","48.8","7.0","20.9","7.0","7.0","2.3","7.0",".",".",".",".",".",".",".",".","."
"264
Landscape Plants II","001","","19","3.605","52.6","15.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.156","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","36","3.361","33.3","27.8","19.4","16.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","7","2.571",".",".","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"334
Greenhse Prod-Ornamntl Plnt","001","","17","3.265","35.3","17.6","23.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"335
Greenhse-Ornamntl Plant Lab","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"367
Pesticides-Iss & Applicator","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","9","3.500","33.3","22.2","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.364","25.0","16.7","50.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Undergraduate Seminar","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","12","3.000","16.7","33.3","25.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799
Pract-Horticulture Teaching","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Biometric Proc-Plnt Breedng","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Seminar","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","14","3.679","64.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 27 of 375"
