"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"719","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","13","3.958","76.9","7.7",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"735
Hlth-Women Across Lifespan","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"744
Nursing-Child-Dev from Hlth","001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chron Ill Chld","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"748
Sem in Functional Role Iss","001","","33","3.894","84.8","9.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Care-Populatn Grps-Com Hlth","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Leadershp-Comm Hlth Nursing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"771
Instr Process-Nursing Educ","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Smr-Nursing Administration","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"774
Practicum-Nursing Mgmt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","24","3.895","62.5","16.7",".",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
