"VET","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Veterinary Biochemistry","502
001","73","3.219","27.4","17.8","37.0","6.8","11.0",".",".",".",".",".",".",".",".",".",".","."
"Vet Neuroanatomy&Neurophys","505
001","74","3.331","24.3","21.6","50.0","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Physiology B","506
001","76","3.395","25.0","32.9","38.2","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Anat-Lrge Domestic Animals","550
001","75","3.415","36.0","22.7","28.0","10.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Toxicology","555
001","78","3.244","30.8","16.7","34.6","6.4","11.5",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
010","72","2.979","5.6","11.1","66.7","9.7","5.6","1.4",".",".",".",".",".",".",".",".",".","."
"COMP BIO
934","Dept. Total","448","3.283","25.0","20.5","42.2","6.9","5.1","0.2",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Graduate","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","","368","3.291","23.9","21.5","43.5","7.1","3.8","0.3",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","79","3.241","30.4","16.5","35.4","6.3","11.4",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","447","3.284","25.1","20.6","42.1","6.9","5.1","0.2",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","448","3.283","25.0","20.5","42.2","6.9","5.1","0.2",".",".",".",".",".",".",".",".",".","."
