"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103
001","11","3.455","27.3","54.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","93","2.891","20.4","19.4","16.1","21.5","15.1","4.3","2.2","1.1",".",".",".",".",".",".",".","."
"The Folk Tale","220
001","91","3.000","14.3","30.8","29.7","13.2","4.4","1.1","5.5","1.1",".",".",".",".",".",".",".","."
"Intro to American Folklore","230
001","73","3.217","8.2","28.8","54.8","1.4","1.4",".",".","5.5",".",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411
001","17","3.160","29.4","17.6","17.6","17.6","5.9","5.9",".","5.9",".",".",".",".",".",".",".","."
"Slavic&E European Folklore","444
001","11","3.591","54.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Folk Epics","460
001","19","3.056","10.5","31.6","26.3","10.5","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"Fld Mthd&Pub Presntn-Folklr","490
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Material Culture Analysis","512
001","11","3.409","45.5","27.3","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Comparative World Costume","655
001","8","2.750","37.5",".","25.0",".","25.0",".","12.5",".",".",".",".",".",".",".",".","."
"Rsch Meth: Ethnomusicology","720
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","340","3.079","19.4","26.2","28.2","11.5","8.2","1.8","2.4","2.4",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.043","13.0","30.4","34.8","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Sophomore","","69","3.055","18.8","27.5","29.0","14.5","4.3","1.4","4.3",".",".",".",".",".",".",".",".","."
"Junior","","87","3.093","19.5","31.0","17.2","17.2","10.3","3.4",".","1.1",".",".",".",".",".",".",".","."
"Senior","","155","3.059","18.7","22.6","34.2","7.1","9.7","1.3","2.6","3.9",".",".",".",".",".",".",".","."
"Undergraduates","","334","3.066","18.6","26.3","28.7","11.7","8.4","1.8","2.4","2.1",".",".",".",".",".",".",".","."
"Graduate","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","Dept. Total","340","3.079","19.4","26.2","28.2","11.5","8.2","1.8","2.4","2.4",".",".",".",".",".",".",".","."
