"Orienteering","194
001","7","4.000","85.7",".",".",".",".",".","",".","14.3",".","",".",".","",".","",".","",".",".","."
"","202
001","34","3.955","88.2","8.8",".",".",".",".","",".",".",".","",".",".","",".","",".","","2.9",".","."
"","202
002","32","3.875","87.5","6.3","3.1",".","3.1",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","202
003","33","3.828","75.8","12.1","6.1","3.0",".",".","",".","3.0",".","",".",".","",".","",".","",".",".","."
"Fundamntls-Military Tactics","Course Total","99","3.887","83.8","9.1","3.0","1.0","1.0","",".",".","1.0","",".",".","",".","",".","",".","1.0",".","."
"","332
001","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","332
002","7","3.286","71.4",".","14.3",".",".",".","","14.3",".",".","",".",".","",".","",".","",".",".","."
"Advanced Military Tactics","Course Total","12","3.583","83.3",".","8.3",".",".","",".","8.3",".","",".",".","",".","",".","",".",".",".","."
"","442
001","8","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","442
002","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Leadship,Mgmt&Legl Oper","Course Total","13","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"The Battle of Chickamauga","001
494","19","3.944","84.2","10.5",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","5.3"
"MIL SCI
644","Dept. Total","250","3.910","89.6","4.8","1.6","0.4","0.4","",".","0.4","1.6","",".",".","",".","",".","",".","0.8",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","76","3.841","86.8","5.3","3.9","1.3","1.3","",".",".",".","",".",".","",".","",".","",".","1.3",".","."
"Sophomore","","70","3.981","97.1","2.9",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","49","3.871","89.8","6.1",".",".",".","",".","2.0",".","",".",".","",".","",".","",".",".",".","2.0"
"Senior","","53","3.941","84.9","5.7","1.9",".",".","",".",".","5.7","",".",".","",".","",".","",".","1.9",".","."
"Undergraduates","","248","3.910","89.9","4.8","1.6","0.4","0.4","",".","0.4","1.2","",".",".","",".","",".","",".","0.8",".","0.4"
"Special","","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","250","3.910","89.6","4.8","1.6","0.4","0.4","",".","0.4","1.6","",".",".","",".","",".","",".","0.8",".","0.4"
