"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","105
001","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","16","3.219","25.0","37.5","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","003
105","16","2.969","6.3","37.5","12.5","31.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","105
004","18","2.833","16.7","16.7","44.4","5.6","5.6",".","11.1",".",".",".",".",".",".",".",".","."
"","005
105","18","3.618","38.9","44.4","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","105
006","18","3.444","27.8","44.4","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","105
007","16","3.156","25.0","25.0","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","105
008","20","3.175","20.0","45.0","15.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","105
009","16","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
010","17","3.176","11.8","52.9","23.5","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","105
011","13","3.125","7.7","53.8","23.1",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"","105
012","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","13","3.192","7.7","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","18","2.972","27.8","22.2","22.2","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".","."
"","105
015","15","3.433","26.7","46.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
016","15","3.133","20.0","6.7","60.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
017","17","3.265","23.5","47.1","5.9","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","105
018","16","3.094","12.5","31.3","37.5",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","105
019","16","3.594","50.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
020","16","3.156","12.5","18.8","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","021
105","16","3.188","6.3","50.0","31.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","105
022","14","2.929","7.1","14.3","57.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"","105
023","17","3.324","11.8","47.1","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","105
024","15","3.033","6.7","26.7","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
025","20","3.100","10.0","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","105
026","17","3.219","11.8","35.3","35.3","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"","027
105","11","3.273","18.2","45.5","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","433","3.223","19.2","36.0","27.9","9.7","4.4","0.5","1.6","0.5",".",".",".",".",".","0.2",".","."
"Directed Study","199
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","204","2.966","9.8","26.0","36.3","13.2","10.8","1.5","2.0",".",".",".",".",".",".",".",".","0.5"
"Communication & Human Behav","260
001","133","3.061","24.8","23.3","24.8","9.8","9.0","6.0","1.5",".",".",".",".",".",".","0.8",".","."
"Thry&Pract-Group Discussion","266
001","332","3.379","35.5","31.0","19.6","6.6","4.5","1.8","0.6","0.3",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","181","2.918","6.1","22.1","42.5","16.0","6.1","2.2","2.2","2.8",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","176","3.174","9.7","35.2","38.1","11.4","2.8",".","0.6","1.7",".",".",".",".",".",".",".","0.6"
"Radio Programmng&Production","353
001","18","3.167","16.7","22.2","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354
001","84","2.780","4.8","15.5","44.0","23.8","4.8","3.6","3.6",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355
001","134","3.118","6.7","26.1","56.7","6.0","0.7",".","1.5","1.5",".",".",".",".",".",".",".","0.7"
"History of Animated Film","357
001","69","2.890","11.6","8.7","46.4","18.8","10.1","1.4","1.4",".",".",".",".",".",".",".",".","1.4"
"Film&Broadcast Documentary","358
001","35","2.400","2.9","8.6","34.3","14.3","22.9","14.3","2.9",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","27","2.556","11.1","14.8","18.5","7.4","37.0","11.1",".",".",".",".",".",".",".",".",".","."
"Speech Composition","363
001","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","70","3.082","12.9","34.3","22.9","12.9","10.0","2.9",".","1.4",".",".",".",".",".","1.4",".","1.4"
"Communictn&Conflict Resltn","371
001","73","2.806","11.0","8.2","42.5","13.7","19.2","4.1",".","1.4",".",".",".",".",".",".",".","."
