"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Intermediate Bus Statistics","704
001","28","3.786","64.3","28.6","7.1",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"Polit, Legal&Ethic Environs","710
001","45","3.700","48.9","42.2","8.9",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","756
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","756
002","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","756
003","23","3.500","17.4","69.6","8.7","4.3",".",".",".",".",".","",".",".",".","",".","",".",".","."
"Appl Multivariate Analysis","Course Total","38","3.645","42.1","47.4","7.9","2.6",".",".",".",".","",".",".",".","",".","",".",".",".","."
"","765
001","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","765
002","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","765
003","13","3.692","38.5","61.5",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","765
004","17","3.813","58.8","35.3",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","5.9"
"","765
005","23","3.935","87.0","13.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","765
006","16","3.875","75.0","25.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","007
765","12","3.917","83.3","16.7",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"","765
008","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","765
009","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Contemporary Topics","Course Total","95","3.803","67.4","27.4","4.2",".",".",".",".",".","",".",".",".","",".","",".",".",".","1.1"
"Adv Statistical Methods II","001
806","15","3.967","93.3","6.7",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"PhD Thesis-Gen Ind Rsch","990
078","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"GEN BUS
231","Dept. Total","1617","3.258","30.7","23.9","24.9","8.1","7.8","1.8","0.4","0.3","",".","1.7","0.1","",".","",".","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","116","2.985","6.9","19.0","46.6","15.5","6.9",".","0.9",".","",".","3.4",".","",".","",".","0.9",".","."
"Sophomore","","107","3.274","21.5","21.5","37.4","4.7","2.8",".","0.9",".","",".","9.3","0.9","",".","",".","0.9",".","."
"Junior","","489","3.276","31.3","25.4","21.5","8.6","7.2","2.7","0.2","0.2","",".","2.9","0.2","",".","",".",".",".","."
"Senior","","674","3.150","26.3","21.5","27.7","9.3","11.7","2.2","0.4","0.6","",".",".",".","",".","",".","0.1",".","."
"Undergraduates","","1386","3.189","26.0","22.7","27.8","9.2","9.0","2.0","0.4","0.4","",".","2.0","0.1","",".","",".","0.2",".","."
"Special","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","218","3.723","59.6","31.7","6.4","0.9","0.5","0.5",".",".","",".",".",".","",".","",".",".",".","0.5"
"Prof Yr 2","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","4","3.364",".","75.0","25.0",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","7","3.611","42.9","42.9","14.3",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","1617","3.258","30.7","23.9","24.9","8.1","7.8","1.8","0.4","0.3","",".","1.7","0.1","",".","",".","0.2",".","0.1"
