"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Processes-Deviant Behavior","421","001","88","3.267","26.1","36.4","14.8","17.0","3.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"Criminology","441","001","104","3.169","26.0","23.1","25.0","14.4","6.7","1.9","1.0","1.9",".",".",".",".",".",".",".","."
"Corrections & Crime Control","445","001","28","3.074","10.7","21.4","42.9","10.7","3.6","3.6",".","7.1",".",".",".",".",".",".",".","."
"","475","001","21","2.762","23.8","19.0","23.8",".","19.0","4.8","9.5",".",".",".",".",".",".",".",".","."
"","475","002","23","3.022","21.7","17.4","26.1","13.0","21.7",".",".",".",".",".",".",".",".",".",".","."
"","475","003","34","3.227","32.4","23.5","17.6","14.7","2.9","5.9",".",".",".",".",".",".",".","2.9",".","."
"Classical Soc Theory","","Course Total","78","3.039","26.9","20.5","21.8","10.3","12.8","3.8","2.6",".",".",".",".",".",".","1.3",".","."
"Feminism & Sociologicl Thry","477","001","21","3.842","61.9","28.6",".",".",".",".",".","4.8",".",".",".",".",".",".",".","4.8"
"","496","001","61","3.466","24.6","49.2","16.4","3.3",".","1.6",".","4.9",".",".",".",".",".",".",".","."
"","496","002","12","3.647","41.7","41.7",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"","496","003","8","3.240","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","496","201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","82","3.436","26.8","45.1","15.9","3.7","1.2","2.4",".","3.7",".",".",".",".",".","1.2",".","."
"Sociol-Mental Hlth&Disorder","525","001","20","2.675","20.0","20.0","15.0","5.0","30.0",".","10.0",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530","001","47","2.811","14.9","17.0","21.3","19.1","14.9","8.5",".","2.1",".",".",".",".",".","2.1",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc of Health - Rural Areas","533","001","12","3.792","83.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Social Behavior Dynamics","537","001","10","2.167",".","20.0","20.0","10.0","20.0",".","20.0",".",".",".",".",".",".","10.0",".","."
"Intro to Survey Research","544","001","17","3.633","47.1","17.6","23.5",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Wildlife and Society","551","001","23","3.109","21.7","21.7","34.8","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","25","2.660","16.0","4.0","20.0","16.0","44.0",".",".",".",".",".",".",".",".",".",".","."
"Social Ecol of Amazon Basin","613","001","11","3.550","36.4","36.4","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Social Movements","626","001","37","3.557","48.6","27.0","10.8","2.7","2.7","2.7",".",".",".",".",".",".",".","5.4",".","."
"Social Psych-Organizations","631","001","34","3.348","32.4","17.6","35.3","8.8","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Social Stratification","633","001","19","3.553","47.4","26.3","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Sociology and Law","641","001","61","2.924","18.0","18.0","24.6","16.4","14.8","3.3","1.6","3.3",".",".",".",".",".",".",".","."
"Soc-Occupations&Professions","643","001","34","3.531","52.9","5.9","26.5","5.9","2.9",".",".",".",".",".",".",".",".","2.9",".","2.9"
"Comprtv Soc-Contemp Captlsm","644","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674","001","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 288 of 375",""
