"L&S","","","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","1625","3.046","29.2","17.2","19.6","11.4","12.5","4.0","2.6","2.7","",".",".","",".","0.6","",".","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","383","2.715","13.6","18.8","20.1","19.6","18.5","5.0","4.4",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","424","2.966","22.2","19.8","24.5","11.3","15.1","5.0","1.7","0.5","",".",".","",".",".","",".",".",".","."
"Junior","","329","3.029","29.2","17.0","23.4","8.8","13.4","3.3","3.6","0.6","",".",".","",".",".","",".","0.6",".","."
"Senior","","307","3.189","37.5","16.9","18.6","9.8","7.8","4.6","2.0","2.0","",".",".","",".","0.3","",".","0.3",".","0.3"
"Undergraduates","","1443","2.962","24.7","18.3","21.8","12.6","14.1","4.5","2.9","0.7","",".",".","",".","0.1","",".","0.2",".","0.1"
"Special","","11","3.529","54.5","9.1","18.2","18.2",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","171","3.925","64.9","8.8","0.6","0.6",".",".",".","19.9","",".",".","",".","5.3","",".",".",".","."
"","Dept. Total","1625","3.046","29.2","17.2","19.6","11.4","12.5","4.0","2.6","2.7","",".",".","",".","0.6","",".","0.2",".","0.1"
