"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"GREEK","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","2","3.786","50.0","50.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","5","3.806","60.0","40.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","2.889","60.0",".","20.0",".","",".","",".","20.0",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","13","3.468","61.5","23.1","7.7",".","",".","",".","7.7",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","26","3.788","73.1","11.5","15.4",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","40","3.668","67.5","15.0","12.5",".","",".","",".","2.5","2.5","",".",".","",".","",".","",".",".",".","."
