"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"950
General Practice Course","001","","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"953
Problems:Bus Org-Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Publ Sect Labor Rel Law Sem","001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
Law of Creditor-Debtor Rels","001","","9","3.563","44.4","11.1","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"977
Select Probs-Policing Smr","001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"988
Select Probs-Envrnmtl Law","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","15","3.938","26.7","6.7",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","7","3.684","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","051","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","10","3.833","20.0","10.0",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","92","3.922","34.8","5.4","3.3","1.1",".",".",".","55.4",".",".",".",".",".",".",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","003","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","074","","7","3.722","42.9","14.3","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"991","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","31","3.936","48.4","3.2","3.2",".",".",".",".","45.2",".",".",".",".",".",".",".","."
