"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","",""
"Intro Pre-Modern Literature","201
002","30","3.233","13.3","33.3","43.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mod & Contemp Lit","202
001","71","3.181","22.5","33.8","28.2","1.4","5.6","1.4","4.2","2.8",".",".",".",".",".",".",".","."
"","203
030","155","3.095","9.0","40.0","29.0","9.7","9.0",".","1.9",".",".",".",".",".",".","1.3",".","."
"","203
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","156","3.095","9.0","39.7","28.8","9.6","9.0",".","1.9",".",".",".",".",".",".","1.9",".","."
"Masterpcs of Lit-Honors II","288
001","20","3.375","30.0","35.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit Forms-Honors","289
001","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epic","352
075","20","3.508","50.0","10.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"Nonfiction and Prose","356
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Literary Criticism","007
371","17","3.603","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","690
005","12","3.773","66.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Senior Thesis","692
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Criticism","771
001","17","3.813","58.8","35.3",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Literary Movements & Trends","772
001","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lit & The Other Arts","966
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Re-reading Marx","975
001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","990
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"Independent Work","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"COMP LIT
260","Dept. Total","415","3.338","28.0","33.0","22.7","5.5","5.1","0.2","1.4","2.7",".",".",".",".",".","1.2",".","0.2"
