"IES","","","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1068","3.381","40.6","23.6","18.6","5.7","4.2","1.5","0.7","2.6","",".","0.7","",".","0.7","",".","0.3","0.2","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","79","3.081","20.3","25.3","32.9","8.9","8.9","2.5","1.3",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","187","3.163","29.4","22.5","26.7","9.1","8.6","2.1","1.6",".","",".",".","",".",".","",".",".",".","."
"Junior","","184","3.404","38.6","31.5","15.2","7.6","2.7","1.6","1.1",".","",".",".","",".",".","",".","1.6",".","."
"Senior","","295","3.316","33.2","27.1","22.4","7.1","5.1","2.4","0.7","2.0","",".",".","",".",".","",".",".",".","."
"Undergraduates","","745","3.274","32.2","26.8","22.8","7.9","5.8","2.1","1.1","0.8","",".",".","",".",".","",".","0.4",".","."
"Special","","34","3.556","41.2","23.5","20.6","2.9","2.9",".",".","2.9","",".",".","",".",".","",".",".","2.9","2.9"
"Graduate","","288","3.789","62.5","14.9","7.6","0.3","0.3",".",".","7.3","",".","2.4","",".","2.8","",".",".","0.3","1.4"
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1068","3.381","40.6","23.6","18.6","5.7","4.2","1.5","0.7","2.6","",".","0.7","",".","0.7","",".","0.3","0.2","0.5"
