"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"468
Bldg Energy Mgmt&Space Cond","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Gas Turbines&Jet Propulsion","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","006","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","007","","18","3.214","11.1","11.1","55.6",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"491","017","","8","3.455","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"491","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","12","3.786","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","53","3.505","43.4","18.9","28.3",".",".",".","1.9","7.5",".",".",".",".",".",".",".","."
"492","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"492","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"492","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"492","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","050","","7","3.906","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","19","3.844","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Facilities Planning","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Fluid Power","001","","13","3.077","23.1","7.7","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"546
Automatic Controls Lab","002","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Intro-Computationl Geometry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","22","3.773","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","18","3.667","55.6","33.3","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","24","3.850","79.2","8.3","8.3",".",".",".",".",".",".",".",".","4.2",".",".",".","."
