"Seminar-Biblical Studies","952
001","6","3.167","50.0",".","33.3",".",".","16.7",".","",".",".","",".",".","",".",".","",".",".","."
"","990
003","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","011
990","7","3.750","14.3","14.3",".",".",".",".",".","","57.1",".","",".",".","","14.3",".","",".",".","."
"Research and Thesis","Course Total","8","3.833","25.0","12.5",".",".",".",".","",".","50.0","",".",".","",".","12.5","",".",".",".","."
"HEBR ST
440","Dept. Total","196","3.387","40.8","19.9","16.8","7.1","6.6","2.6","",".","5.1","",".",".","",".","0.5","",".","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.308","38.5","11.5","30.8","11.5","7.7",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","49","3.467","40.8","28.6","16.3","8.2","4.1",".","",".","2.0","",".",".","",".",".","",".",".",".","."
"Junior","","30","3.549","53.3","23.3","13.3","3.3","3.3","3.3","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","54","3.145","27.8","22.2","13.0","11.1","14.8","3.7","",".","5.6","",".",".","",".",".","",".","1.9",".","."
"Undergraduates","","159","3.355","38.4","22.6","17.0","8.8","8.2","1.9","",".","2.5","",".",".","",".",".","",".","0.6",".","."
"Special","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","35","3.553","48.6","8.6","17.1",".",".","5.7","",".","17.1","",".",".","",".","2.9","",".",".",".","."
"","Dept. Total","196","3.387","40.8","19.9","16.8","7.1","6.6","2.6","",".","5.1","",".",".","",".","0.5","",".","0.5",".","."
