"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","123","2.321","17.9","8.1","21.1","8.9","15.4","15.4","13.0",".",".",".",".",".",".",".",".","."
"","002
201","49","2.449","12.2","10.2","26.5","14.3","14.3","16.3","6.1",".",".",".",".",".",".",".",".","."
"Statics","Course Total","172","2.358","16.3","8.7","22.7","10.5","15.1","15.7","11.0",".",".",".",".",".",".",".",".","."
"","202
001","17","2.706","11.8","23.5","5.9","35.3","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"","202
002","21","2.786","28.6","9.5","14.3","14.3","23.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","202
003","15","2.667","26.7",".","6.7","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".","."
"","202
004","20","2.450","5.0","15.0","25.0","5.0","35.0","15.0",".",".",".",".",".",".",".",".",".","."
"","202
005","19","2.000",".",".","15.8","21.1","42.1","15.8","5.3",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","92","2.516","14.1","9.8","14.1","19.6","29.3","10.9","2.2",".",".",".",".",".",".",".",".","."
"","214
001","10","3.150","30.0","20.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","214
002","6","2.917",".","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","Course Total","16","3.063","18.8","25.0","25.0","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","303
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","13","2.833","23.1","15.4","15.4","15.4","15.4",".","7.7",".",".",".",".",".",".","7.7",".","."
"","304
001","21","2.643","9.5","9.5","28.6","23.8","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"","002
304","19","2.947","10.5","21.1","36.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","304
003","18","2.500","5.6","5.6","22.2","27.8","33.3","5.6",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","58","2.698","8.6","12.1","29.3","24.1","19.0","6.9",".",".",".",".",".",".",".",".",".","."
"","306
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","6","2.500","16.7",".","33.3",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","307
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","13","3.308","30.8","23.1","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","17","2.971","23.5","17.6","11.8","23.5","23.5",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","8","3.300","25.0","12.5","12.5",".","12.5",".",".","37.5",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","18","3.194","44.4",".","27.8","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"","569
001","10","2.950","10.0","20.0","50.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","569
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","11","3.000","9.1","27.3","45.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","601
001","7","3.763","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","13","3.473","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
