"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"","990
058","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
117","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","6","4.000","33.3",".",".",".",".",".",".","33.3",".",".","",".","33.3","",".",".",".","."
"OTM
238","Dept. Total","542","3.491","41.3","25.8","23.1","4.2","2.6","0.2","0.4","1.7","0.2",".","",".","0.4","",".",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Junior","","57","3.404","42.1","26.3","17.5","5.3","7.0",".","1.8",".",".",".","",".",".","",".",".",".","."
"Senior","","279","3.375","31.9","26.5","29.7","6.8","3.6",".","0.4","0.7","0.4",".","",".",".","",".",".",".","."
"Undergraduates","","337","3.379","33.5","26.4","27.9","6.5","4.2",".","0.6","0.6","0.3",".","",".",".","",".",".",".","."
"Special","","21","3.400","38.1","19.0","33.3",".",".","4.8",".","4.8",".",".","",".",".","",".",".",".","."
"Graduate","","178","3.726","56.7","25.3","12.4","0.6",".",".",".","3.4",".",".","",".","1.1","",".",".",".","0.6"
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","4","3.250",".","50.0","50.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Professionals","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"","Dept. Total","542","3.491","41.3","25.8","23.1","4.2","2.6","0.2","0.4","1.7","0.2",".","",".","0.4","",".",".",".","0.2"
