"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"312
2nd Sem Dutch-Grad Stdts","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"314
4th Sem Dutch-Grad Stdts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"331
Business German","001","","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"352
Topics-German Linguistics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"367","201","","7","3.406","28.6","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"367","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad in German Lit","Course Total","","8","3.500","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"368","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"368","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad-German Culture","Course Total","","2","***","","","","","","","","","","","","","","","",""
"369
Study Abroad-German Linguis","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"385
Honors Seminar-German Lit","001","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"392
German for Grad Reading II","001","","10","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"410
D Kulturgeschicht 1648-1918","001","","25","3.783","60.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"411
Deutsche Kultur seit 1918","001","","20","3.355","25.0","25.0","35.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"412","001","","14","3.036",".","7.1","92.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"412","201","","8","3.577","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"412","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","Course Total","","23","3.254","17.4","21.7","60.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Germn-Jewsh Cltr Since 18c","001","","16","3.567","50.0","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"611
Survey German Lit to 1750","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"632
Theme in German Lit","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"644
Theory & Practice of Drama","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Intro to Middle High German","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Applied German Philology","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Sr Honors Thesis-1st Sem","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis-2nd Sem","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Humanism&Baroque 1400-1700","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Special Topics-German Lit","001","","13","3.909","76.9",".","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"722
Theory of Teaching German","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"751
Contrast Grammar Eng&German","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
