"Ancient & Medieval Science","322
001","","8","3.125","12.5","25.0","37.5","25.0",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Byzantine Med & Pharmacy","562
001","","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Dante's Divina Commedia","660
001","","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Medieval Literature","753
001","","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDIEVAL
633","Dept. Total","","47","2.774","23.4","6.4","19.1","17.0","25.5","2.1","2.1","4.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","0.857",".",".",".",".","50.0",".","50.0",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","2","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","18","2.679","11.1","11.1","27.8","5.6","44.4",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","18","2.676","11.1","5.6","22.2","27.8","16.7","5.6",".","11.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","40","2.565","10.0","7.5","22.5","20.0","30.0","2.5","2.5","5.0","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","47","2.774","23.4","6.4","19.1","17.0","25.5","2.1","2.1","4.3","",".",".","",".","",".","",".",".",".","."
