"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","13","2.792","23.1","7.7","30.8",".","23.1",".","7.7","7.7",".",".",".",".",".",".",".","."
"","101
002","11","3.500","54.5","9.1","9.1",".",".","9.1",".","9.1",".",".",".",".",".","9.1",".","."
"","101
003","19","3.289","42.1","15.8","15.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","101
004","19","3.211","36.8","42.1","5.3",".","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"","101
005","14","3.615","50.0","21.4","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","101
006","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"First Semester German","Course Total","83","3.308","42.2","20.5","14.5","3.6","8.4","1.2","3.6","4.8",".",".",".",".",".","1.2",".","."
"","102
001","12","3.583","75.0",".","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
102","24","2.609","16.7","8.3","20.8","8.3","33.3","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"","102
003","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","20","3.316","55.0","5.0","15.0","5.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","102
006","12","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
102","11","2.650","18.2","9.1","9.1","18.2","27.3","9.1",".","9.1",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","111","3.264","43.2","14.4","18.0","4.5","13.5","1.8","1.8","2.7",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","24","3.354","29.2","25.0","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive German II","172
001","7","3.143","28.6","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","203
001","12","3.125","41.7","8.3","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","203
002","12","2.636","16.7","8.3","25.0","8.3","16.7","16.7",".",".",".",".",".",".",".",".","8.3","."
"","203
003","21","3.262","28.6","28.6","28.6","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","004
203","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","54","3.151","29.6","22.2","24.1","7.4","7.4","7.4",".",".",".",".",".",".",".",".","1.9","."
"","204
001","21","3.357","52.4","14.3","4.8","9.5","19.0",".",".",".",".",".",".",".",".",".",".","."
"","204
002","23","3.630","56.5","17.4","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
204","15","3.571","53.3","13.3","13.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"","004
204","21","3.575","61.9","14.3","9.5",".","4.8","4.8",".","4.8",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","80","3.532","56.3","15.0","12.5","6.3","6.3","1.3",".","2.5",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-German Literature","221
001","22","3.614","54.5","22.7","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to German Literature","222
001","15","3.200","6.7","46.7","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","7","3.000","42.9",".","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","002
225","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
003","18","3.139","16.7","22.2","44.4","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","43","3.430","48.8","14.0","27.9","2.3","4.7",".","2.3",".",".",".",".",".",".",".",".","."
"","226
001","17","3.294","17.6","29.4","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","23","3.674","43.5","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","40","3.513","32.5","40.0","25.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive German III","273
001","14","3.364","35.7","28.6","7.1",".",".",".","7.1","21.4",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","284
001","20","3.375","30.0","30.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","001
285","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Moderne Literatur","305
001","17","3.026","11.8","41.2","29.4","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 215 of 375",""
