"AMN","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","",""
"","102
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Air Force Today II","Course Total","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Air Force Way II","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Force Leadership&Mgt II","304
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preparation-Active Duty II","402
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A F AERO
102","Dept. Total","","43","3.960","90.7","9.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
