"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","34","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","","12","3.000","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","11","3.364","36.4","18.2","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","170
003","","13","3.385","38.5","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","170
004","","15","3.533","46.7","20.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","","14","3.500","35.7","42.9","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
170","","12","2.833","8.3","33.3","16.7","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","","77","3.286","31.2","26.0","23.4","10.4","7.8","1.3",".",".",".",".",".",".",".",".",".","."
"","220
001","","38","2.197","2.6","5.3","21.1","23.7","28.9","10.5","7.9",".",".",".",".",".",".",".",".","."
"","002
220","","43","2.756","14.0","11.6","32.6","18.6","16.3","2.3","4.7",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","","81","2.494","8.6","8.6","27.2","21.0","22.2","6.2","6.2",".",".",".",".",".",".",".",".","."
"","230
001","","41","2.829","17.1","12.2","29.3","22.0","14.6",".","4.9",".",".",".",".",".",".",".",".","."
"","230
002","","51","2.676","13.7","15.7","19.6","17.6","25.5","3.9","3.9",".",".",".",".",".",".",".",".","."
"Circuit Analysis","Course Total","","92","2.745","15.2","14.1","23.9","19.6","20.7","2.2","4.3",".",".",".",".",".",".",".",".","."
"","270
001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
270","","15","3.400","13.3","53.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
270","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","","76","3.737","64.5","19.7","14.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","15","3.533","20.0","66.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","","16","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","","65","3.554","29.2","52.3","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","","9","3.375","33.3","22.2","22.2",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"","305
002","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","","19","3.444","36.8","21.1","31.6",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomedical Engineering Lab","Course Total","","14","3.500","50.0","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","313
001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Laser Laboratory","314
001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","11","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","8","3.313","37.5","12.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","315
003","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","","38","3.592","52.6","23.7","18.4",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 116 of 375",""
