"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","62","3.491","32.3","19.4","33.9",".",".",".","",".","14.5",".","",".",".","",".","",".","",".",".","."
"","260
001","39","2.662","5.1","5.1","43.6","23.1","12.8",".","","5.1","5.1",".","",".",".","",".","",".","",".",".","."
"","260
002","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Topics-Asian Amer Culture","Course Total","40","2.674","7.5","5.0","42.5","22.5","12.5","",".","5.0","5.0","",".",".","",".","",".","",".",".",".","."
"Asian Am Persnalty&Men Hlth","342
001","10","2.889","10.0","20.0","30.0",".","30.0",".","",".","10.0",".","",".",".","",".","",".","",".",".","."
"Humanities Topics","560
001","8","3.357","62.5","12.5",".",".",".",".","","12.5","12.5",".","",".",".","",".","",".","",".",".","."
"Asian Amer Women Writers","595
001","9","2.889","11.1","22.2","55.6",".",".",".","","11.1",".",".","",".",".","",".","",".","",".",".","."
"ASIAN AM
184","Dept. Total","129","3.124","23.3","14.7","35.7","7.0","6.2","",".","3.1","10.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.267","20.0","26.7","46.7",".","6.7","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","26","2.980","11.5","23.1","38.5","11.5","7.7","",".","3.8","3.8","",".",".","",".","",".","",".",".",".","."
"Junior","","25","2.840","16.0","8.0","52.0","8.0","8.0","",".","8.0",".","",".",".","",".","",".","",".",".",".","."
"Senior","","57","3.228","26.3","12.3","28.1","7.0","5.3","",".","1.8","19.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","123","3.090","20.3","15.4","37.4","7.3","6.5","",".","3.3","9.8","",".",".","",".","",".","",".",".",".","."
"Graduate","","6","4.000","83.3",".",".",".",".","",".",".","16.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","129","3.124","23.3","14.7","35.7","7.0","6.2","",".","3.1","10.1","",".",".","",".","",".","",".",".",".","."
