"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","148","3.102","16.2","40.5","24.3","6.8","4.7","2.0","4.7","0.7",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","16","3.292","18.8","25.0","18.8","6.3","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"Opera","105
001","","81","3.359","45.7","9.9","27.2","4.9","4.9","2.5","1.2","3.7",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","9","",".",".",".",".",".",".",".","11.1",".","88.9",".",".",".",".",".","."
"Music in Performance","114
001","","669","3.680","64.1","8.5","16.9","1.0","1.8","0.6","0.4","6.4",".",".",".",".",".","0.1",".","."
"","122
001","","23","2.848","8.7","13.0","43.5","8.7","26.1",".",".",".",".",".",".",".",".",".",".","."
"","002
122","","23","3.326","34.8","30.4","21.7",".","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"1st Year Theory","Course Total","","46","3.087","21.7","21.7","32.6","4.3","17.4","2.2",".",".",".",".",".",".",".",".",".","."
"","131
001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","131
002","","18","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Music Theory","Course Total","","38","3.842","81.6","10.5","2.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","24","3.738","70.8","12.5",".",".",".",".","4.2","12.5",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","288","3.646","49.0","30.6","10.8","1.7","2.4",".",".","5.2",".",".",".",".",".","0.3",".","."
"Survey-Hist Western Music","212
001","","52","2.873","25.0","5.8","26.9","15.4","19.2","3.8","1.9","1.9",".",".",".",".",".",".",".","."
"","222
001","","29","3.759","58.6","37.9",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
222","","26","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Year Theory","Course Total","","55","3.727","52.7","41.8","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Techniques","241
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Folk Instrmnt Perf Prac","248
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
001","","9","3.389","11.1","77.8",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","002
254","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","23","3.609","43.5","43.5","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","268
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
003","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 253 of 375",""
