"L&S","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1106","3.558","56.4","20.2","14.2","4.2","2.2","0.9","0.5","1.1","",".",".","",".","0.1","",".",".","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","40","2.756","20.0","7.5","27.5","15.0","17.5","7.5","2.5","2.5","",".",".","",".",".","",".",".",".","."
"Sophomore","","163","3.354","39.3","17.2","29.4","9.2","3.1","1.2","0.6",".","",".",".","",".",".","",".",".",".","."
"Junior","","179","3.415","48.0","18.4","20.1","7.8","3.4","1.7","0.6",".","",".",".","",".",".","",".",".",".","."
"Senior","","253","3.561","54.2","23.7","12.3","3.6","2.4","0.8","0.8","2.4","",".",".","",".",".","",".",".",".","."
"Undergraduates","","635","3.414","46.5","19.5","19.8","6.9","3.8","1.6","0.8","1.1","",".",".","",".",".","",".",".",".","."
"Special","","45","3.717","57.8","28.9","6.7","2.2",".",".",".","2.2","",".",".","",".",".","",".",".","2.2","."
"Graduate","","426","3.802","71.1","20.2","6.6","0.5",".",".",".","0.9","",".",".","",".","0.2","",".",".",".","0.5"
"","Dept. Total","1106","3.558","56.4","20.2","14.2","4.2","2.2","0.9","0.5","1.1","",".",".","",".","0.1","",".",".","0.1","0.2"
