"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","101
001","34","3.574","41.2","47.1",".","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","101
002","179","3.349","29.6","37.4","21.8","5.6","2.2","1.7","1.7",".",".",".",".",".",".",".",".","."
"Contemp Iss-Engr Profession","Course Total","213","3.385","31.5","39.0","18.3","6.1","2.3","1.4","1.4",".",".",".",".",".",".",".",".","."
"Technical Info Resources","151
001","35","3.114","20.0","28.6","25.7","17.1","2.9","5.7",".",".",".",".",".",".",".",".",".","."
"Basic Communication","155
001","194","3.438","38.7","34.0","15.5","8.2","1.0","1.0","1.5",".",".",".",".",".",".",".",".","."
"","275
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","48","3.885","79.2","18.8","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Technical Japanese II","332
002","15","3.538","60.0","13.3","6.7",".",".",".","6.7","13.3",".",".",".",".",".",".",".","."
"","375
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Manuals/Software Docmt","001
392","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Writing","397
001","144","3.563","42.4","31.3","21.5","2.1","1.4",".",".","0.7",".",".",".",".",".",".",".","0.7"
"Tech Communications Intrshp","398
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Business Chinese","411
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","413
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Technical Editing","497
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Tech&Professnl Communicatn","001
597","13","3.909","69.2","15.4",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","690
001","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
690","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","54","3.935","90.7","7.4",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
