"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","451","2.532","12.4","12.6","19.7","17.5","22.6","8.4","5.5","1.1",".",".",".",".",".",".",".","."
"","101
002","340","2.509","12.6","9.1","17.4","22.9","22.1","12.6","2.4","0.3",".",".",".",".",".","0.3",".","0.3"
"","101
003","439","2.605","18.0","13.4","14.8","17.1","20.3","13.7","2.7",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1230","2.552","14.5","12.0","17.3","18.9","21.6","11.5","3.7","0.5",".",".",".",".",".","0.1",".","0.1"
"","102
001","182","2.823","22.0","15.9","16.5","14.8","21.4","7.7","1.1","0.5",".",".",".",".",".",".",".","."
"","002
102","215","2.715","14.9","16.7","22.3","14.9","19.1","9.8","1.9",".",".",".",".",".",".","0.5",".","."
"","003
102","341","2.632","12.3","19.6","19.1","16.7","17.6","10.3","4.1",".",".",".",".",".",".","0.3",".","."
"Principles-Macroeconomics","Course Total","738","2.703","15.4","17.9","19.4","15.7","19.0","9.5","2.7","0.1",".",".",".",".",".","0.3",".","."
"","111
001","36","3.278","36.1","27.8","13.9","11.1","8.3",".","2.8",".",".",".",".",".",".",".",".","."
"","111
002","33","3.303","36.4","18.2","33.3",".","9.1","3.0",".",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","69","3.290","36.2","23.2","23.2","5.8","8.7","1.4","1.4",".",".",".",".",".",".",".",".","."
"Economics of Black America","001
261","18","2.929","22.2","5.6","16.7","5.6","27.8",".",".","16.7","5.6",".",".",".",".",".",".","."
"","300
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","9","3.056","44.4",".","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","15","2.967","40.0",".","20.0","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","301
001","43","2.569","18.6","11.6","14.0","14.0","25.6","9.3","4.7","2.3",".",".",".",".",".",".",".","."
"","301
002","66","2.471","10.6","13.6","15.2","18.2","24.2","4.5","7.6","4.5","1.5",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","109","2.511","13.8","12.8","14.7","16.5","24.8","6.4","6.4","3.7","0.9",".",".",".",".",".",".","."
"","001
302","63","3.027","36.5","9.5","23.8","3.2","22.2","3.2","1.6",".",".",".",".",".",".",".",".","."
"","002
302","71","2.874","23.9","16.9","21.1","11.3","18.3","7.0","1.4",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","134","2.945","29.9","13.4","22.4","7.5","20.1","5.2","1.5",".",".",".",".",".",".",".",".","."
"The Real Estate Process","001
306","44","2.784","18.2","9.1","11.4","34.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","39","2.462","7.7","7.7","23.1","23.1","25.6","10.3","2.6",".",".",".",".",".",".",".",".","."
"Labor Problems","315
001","52","2.780","19.2","23.1","7.7","19.2","15.4","7.7","3.8","3.8",".",".",".",".",".",".",".","."
"","320
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
320","11","3.045","18.2","9.1","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Investments","Course Total","14","3.071","14.3","14.3","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","89","2.817","14.6","16.9","25.8","23.6","7.9","5.6","3.4","2.2",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","65","3.073","24.6","15.4","24.6","23.1","7.7",".","1.5","3.1",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","110","3.055","17.3","27.3","23.6","17.3","11.8","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"","365
001","47","2.977","19.1","12.8","34.0","12.8","8.5","6.4",".","2.1",".",".",".",".",".","4.3",".","."
"","365
002","35","3.078","31.4","14.3","8.6","22.9","8.6","5.7",".","2.9",".",".",".",".",".","5.7",".","."
"Comparative Econ Systems","Course Total","82","3.020","24.4","13.4","23.2","17.1","8.5","6.1",".","2.4",".",".",".",".",".","4.9",".","."
"","390
001","68","3.081","22.1","13.2","33.8","7.4","11.8","2.9",".","8.8",".",".",".",".",".",".",".","."
"","004
390","19","3.761","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390
201","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Economic Issue","Course Total","89","3.238","30.3","19.1","27.0","5.6","9.0","2.2",".","6.7",".",".",".",".",".",".",".","."
"Introductory Econometrics","001
410","23","2.922","30.4","13.0","21.7","8.7","17.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Financial System","435
001","15","3.071","20.0","6.7","40.0","20.0","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"Analytical Public Finance","441
001","8","3.290","50.0","12.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Race,Gendr,Ethn-Labor Markt","460
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 194 of 375",""
