"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"501
Health Info for Teachers","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"507
People, Chemicals, Envrnmnt","001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"548","001","","13","2.768","7.7","30.8","30.8","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"548","002","","22","3.773","72.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","Course Total","","35","3.388","48.6","20.0","17.1","5.7","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","14","2.893","35.7","14.3","14.3","7.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Toxicology II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650","005","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","007","","25","3.760","52.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","008","","8","3.575","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Special Topics","Course Total","","58","3.817","69.0","27.6","1.7",".",".",".",".",".",".",".",".",".",".",".",".","1.7"
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","3.962","66.7",".","5.6",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"707
Care Org:Struct,Opertn,Mgmt","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Quant Mthds-Health Managers","001","","22","3.705","50.0","45.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"731
Legal Iss-Hlth Care Admin","001","","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","17","3.406","23.5","41.2","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9"
"800
Statistics in Epidemiology","001","","17","3.438","23.5","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"872
Strategic Health Management","001","","24","3.771","62.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess-Medical Technologies","Course Total","","38","3.842","71.1","26.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"889
Hlth Mgmt Ethics&Leadership","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Seminar","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"911
Epidemiol Elect-Div of Hlth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Fundmtls Interntl Hlth-MSC","001","","10","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","13","3.939","76.9",".","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
