"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","199
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Critical Thinkng & Expressn","200
001","104","3.438","26.0","51.0","15.4","3.8","2.9",".","1.0",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","89","3.092","23.6","19.1","24.7","16.9","12.4",".","1.1",".",".",".",".",".",".","1.1",".","1.1"
"W Culture:Sci,Tech,Phil II","202
001","114","3.061","21.1","19.3","33.3","12.3","10.5","2.6","0.9",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","157","3.252","19.1","37.6","28.7","8.9","3.8","1.3","0.6",".",".",".",".",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
001","158","3.048","13.9","19.6","37.3","20.3","5.7","0.6","0.6","1.9",".",".",".",".",".",".",".","."
"Bascom Course","236
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Phy Sciences","251
001","50","3.229","22.0","24.0","32.0","12.0","6.0",".",".","4.0",".",".",".",".",".",".",".","."
"Contemporary Life Sciences","252
002","32","3.375","43.8","25.0","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Literature and Science","254
001","57","3.250","26.3","31.6","31.6","3.5",".",".","5.3","1.8",".",".",".",".",".",".",".","."
"PreCoperncn Astrn-Crosscltr","271
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar","400
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
500","Dept. Total","789","3.214","23.3","28.6","28.4","11.0","5.6","0.8","1.3","0.8",".",".",".",".",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","214","3.124","14.0","31.8","35.0","9.8","7.0","1.4","0.9",".",".",".",".",".",".",".",".","."
"Sophomore","","292","3.268","26.0","30.1","25.3","11.6","5.1","0.7","0.7",".",".",".",".",".",".","0.3",".","."
"Junior","","153","3.171","22.2","28.1","28.1","13.7","4.6",".","2.6","0.7",".",".",".",".",".",".",".","."
"Senior","","129","3.293","33.3","20.9","24.8","8.5","5.4","0.8","1.6","3.9",".",".",".",".",".",".",".","0.8"
"Undergraduates","","788","3.213","23.2","28.7","28.4","11.0","5.6","0.8","1.3","0.8",".",".",".",".",".","0.1",".","0.1"
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","789","3.214","23.3","28.6","28.4","11.0","5.6","0.8","1.3","0.8",".",".",".",".",".","0.1",".","0.1"
