"","995
004","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","995
027","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","042
995","6","4.000","83.3",".",".",".",".",".",".",".",".","",".",".","","16.7",".","",".",".","."
"Rsch-Macromolecular Chem","Course Total","8","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","25.0","",".",".",".","."
"CHEM
224","Dept. Total","4319","3.018","30.0","14.6","23.7","7.3","16.2","3.4","1.7","1.9","",".","0.8","",".","0.3","",".","0.1",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1044","2.755","19.5","13.5","23.0","11.5","22.1","7.4","2.8",".","",".",".","",".",".","",".","0.2",".","."
"Sophomore","","1234","3.079","28.4","16.2","26.3","7.5","16.9","3.1","1.4",".","",".",".","",".",".","",".","0.1",".","."
"Junior","","916","3.037","29.4","15.6","29.7","4.8","16.0","2.4","2.0",".","",".",".","",".",".","",".","0.1",".","."
"Senior","","593","3.010","30.5","16.4","24.5","8.8","16.4","1.3","1.3","0.3","",".","0.2","",".",".","",".","0.2",".","0.2"
"Undergraduates","","3787","2.950","26.5","15.3","25.9","8.2","18.1","3.8","1.9","0.1","",".","0.0","",".",".","",".","0.1",".","0.0"
"Special","","58","3.237","46.6","13.8","22.4",".","15.5",".","1.7",".","",".",".","",".",".","",".",".",".","."
"Graduate","","592","3.796","46.3","6.6","4.9","1.0","1.2",".","0.2","31.3","",".","5.7","",".","2.9","",".",".",".","."
"Prof Yr 2","","2","2.278",".",".",".","50.0","50.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","6","3.500","33.3","16.7","16.7",".",".",".",".","33.3","",".",".","",".",".","",".",".",".","."
"Professionals","","8","2.950","25.0","12.5","12.5","12.5","12.5",".",".","25.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","4445","3.018","29.4","14.2","23.1","7.1","15.8","3.3","1.7","4.3","",".","0.8","",".","0.4","",".","0.1",".","0.0"
