"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","204
003","23","2.717","8.7","8.7","30.4","21.7","30.4",".",".",".",".",".",".",".",".",".",".","."
"","204
004","21","3.524","57.1","28.6","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","204
005","23","3.087","21.7","17.4","34.8","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","204
007","23","2.739","17.4","17.4","26.1","8.7","21.7",".","8.7",".",".",".",".",".",".",".",".","."
"","008
204","23","3.159","34.8","13.0","21.7","8.7","13.0","4.3",".","4.3",".",".",".",".",".",".",".","."
"","009
204","24","2.625","12.5","12.5","37.5","4.2","20.8","4.2","8.3",".",".",".",".",".",".",".",".","."
"","204
010","22","2.886","13.6","36.4","9.1","13.6","22.7",".","4.5",".",".",".",".",".",".",".",".","."
"","204
012","19","2.553",".","15.8","31.6","21.1","26.3",".","5.3",".",".",".",".",".",".",".",".","."
"","204
013","23","2.875","30.4","4.3","21.7",".","17.4","13.0",".","13.0",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","235","2.917","20.9","18.7","24.3","9.4","18.7","3.0","3.0","1.7",".",".",".",".",".","0.4",".","."
"Spanish for Spanish Speaker","207
001","11","3.227","36.4","27.3","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","220
001","24","2.979","20.8","12.5","41.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","220
002","21","3.225","28.6","9.5","38.1","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Elem Survey-Spanish Am Lit","Course Total","45","3.091","24.4","11.1","40.0","11.1","6.7","4.4",".","2.2",".",".",".",".",".",".",".","."
"","221
001","19","3.526","52.6","10.5","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","25","3.125","20.0","28.0","28.0","4.0","12.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"","221
003","23","3.409","34.8","30.4","17.4","4.3","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"Elem Survey of Spanish Lit","Course Total","67","3.338","34.3","23.9","23.9","6.0","7.5","1.5",".","3.0",".",".",".",".",".",".",".","."
"","222
001","25","3.240","24.0","32.0","24.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","002
222","19","3.158","26.3","26.3","21.1","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"","222
003","26","3.731","61.5","26.9","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Survey Hispan Lit-1700","Course Total","70","3.400","38.6","28.6","17.1","5.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"","225
001","20","3.325","25.0","25.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","225
002","22","3.068","13.6","22.7","40.9","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","225
003","22","3.409","36.4","22.7","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","004
225","22","3.182","18.2","31.8","27.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","225
006","23","3.250","13.0","39.1","30.4","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","225
007","23","3.000","17.4","21.7","34.8","4.3","13.0",".","4.3","4.3",".",".",".",".",".",".",".","."
"","225
008","18","2.833","11.1","11.1","38.9","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","225
009","21","3.190","23.8","23.8","23.8","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Lang Prac&Gram Rev","Course Total","171","3.163","19.9","25.1","33.9","10.5","8.2","0.6","0.6","1.2",".",".",".",".",".",".",".","."
"","001
226","21","3.452","42.9","23.8","23.8",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","226
002","23","3.304","21.7","30.4","39.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","003
226","22","3.048","27.3","9.1","27.3","18.2","9.1","4.5",".","4.5",".",".",".",".",".",".",".","."
"","226
004","23","3.295","21.7","26.1","39.1","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","005
226","23","3.565","65.2","13.0","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","006
226","22","3.545","68.2","9.1","13.6",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","226
007","22","3.136","22.7",".","59.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","008
226","15","3.067","33.3","20.0","20.0","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"3rd Yr Lang-Written Exprssn","Course Total","171","3.314","38.0","16.4","29.8","7.0","5.3","0.6","1.8","1.2",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","17","3.559","70.6","5.9","11.8",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","311
001","19","3.526","31.6","47.4","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
311","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","17","3.353","23.5","35.3","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","19","3.053","10.5","31.6","26.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 296 of 375",""
