"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"301
Terr Vertbrt:Life Hist&Ecol","001","","65","3.046","18.5","24.6","27.7","12.3","13.8","3.1",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","26","2.596","3.8","7.7","30.8","26.9","26.9","3.8",".",".",".",".",".",".",".",".",".","."
"367
Pesticides-Iss & Applicator","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","41","3.000","19.5","24.4","26.8","9.8","14.6","2.4","2.4",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","66","2.656","12.1","6.1","36.4","18.2","10.6","12.1","1.5","3.0",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","13","3.083",".","23.1","61.5","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","12","3.250","8.3","41.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","52","2.856","36.5","1.9","28.8",".","15.4","15.4","1.9",".",".",".",".",".",".",".",".","."
"699","011","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.773","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Wildlife Ecol Teachng","Course Total","","2","***","","","","","","","","","","","","","","","",""
"961
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","29","4.000","79.3",".",".",".",".",".",".","6.9",".",".",".","13.8",".",".",".","."
