"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","54","2.731","13.0","9.3","25.9","25.9","20.4","5.6",".",".",".",".",".",".",".",".",".","."
"Landscape Plants II","264","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Management","300","001","","24","3.146","16.7","33.3","20.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","312","001","","39","2.821","15.4","30.8","20.5","10.3","10.3","5.1","7.7",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","22","3.318","27.3","36.4","31.8",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","","28","3.089","21.4","14.3","39.3","10.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"","375","001","","16","3.735","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","002","","27","3.133","14.8","18.5","48.1","18.5",".",".",".",".",".",".",".",".",".",".",".","."
"","375","004","","12","2.230","8.3",".","33.3","25.0","8.3","8.3","16.7",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","55","3.109","30.9","9.1","38.2","14.5","1.8","1.8","3.6",".",".",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Open Space Planning&Design","451","001","","22","3.091","18.2","18.2","50.0","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","20","2.550","15.0","10.0","30.0",".","25.0","20.0",".",".",".",".",".",".",".",".",".","."
"Computerzd Land Info Systms","655","001","","29","2.224","6.9","10.3","27.6","6.9","27.6","3.4","17.2",".",".",".",".",".",".",".",".","."
"","699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","8","3.450","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Crit Inquiry-Landscape Dsgn","720","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Local Resource Policy Anal","730","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Policy Studies in Land Arc","735","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methds-Hist/Cult Rsrce Pres","777","001","","17","2.938","17.6","11.8","23.5","23.5","17.6",".",".","5.9",".",".",".",".",".",".",".","."
"Nat Plnt Comm Restoratn&Mgt","866","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","16","3.947","56.3",".","6.3",".",".",".",".",".",".",".",".","37.5",".",".",".","."
"Independent Studies","999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
