"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"464
001","","51","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
003","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg in Elem School","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg-Kindergarten","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"466
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","5","***","","","","","","","","","","","","","","","",""
"467
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"467
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","3","***","","","","","","","","","","","","","","","",""
"472
001
Stdt Teaching Engl-Mid Schl","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"492
001
Student Teaching-Com Dis","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"494
001
Student Teaching in HS Math","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"496
001
Stdt Teaching-English in HS","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"497
001
Stdt Teach-Middle Schl Math","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"498
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498
002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Middle School","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"501
001
Health Info for Teachers","","109","3.741","55.0","37.6","5.5","0.9",".",".",".","0.9",".",".",".",".",".",".",".","."
"001
504
Remedial Reading","","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
001","","37","3.851","73.0","24.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
002","","58","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Strategy-Inclusive Schoolng","","95","3.921","85.3","13.7","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
001
Org&Adm-School Hlth Progms","","25","3.840","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
001
Teacher Ed-Alcohol & Drugs","","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
001
Pract-Spec Ed in the Arts","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"570
001
Art-Exceptional Education","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"603
001
Local Productn-Instr Matrls","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
001
Intro-Video Production-Educ","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
001
Fld Proj-Lib&Info Agencies","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"626
001
Action Research in Schools","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"630
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Wrkshp-Schl Program Develop","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
001
Early Childhood Education","","20","3.526","35.0","40.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"690
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
