"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","113
026","17","2.265","17.6","5.9","11.8","11.8","29.4","11.8","11.8",".",".",".",".",".",".",".",".","."
"","027
113","14","2.321","14.3","7.1","28.6",".","21.4","21.4","7.1",".",".",".",".",".",".",".",".","."
"","028
113","15","2.700","26.7",".","40.0","6.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".","."
"","113
029","20","2.875","35.0","15.0","10.0","10.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","030
113","14","1.964","14.3",".","14.3","7.1","28.6","21.4","14.3",".",".",".",".",".",".",".",".","."
"","113
031","17","1.882",".",".",".","11.8","70.6","17.6",".",".",".",".",".",".",".",".",".","."
"","032
113","19","2.895","36.8",".","31.6",".","21.1","5.3","5.3",".",".",".",".",".",".",".",".","."
"","035
113","11","2.818","18.2","9.1","27.3","9.1","36.4",".",".",".",".",".",".",".",".",".",".","."
"","036
113","18","2.250","16.7",".","33.3","5.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".","."
"","037
113","15","2.367","13.3","6.7","20.0",".","46.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","571","2.389","18.6","4.9","21.9","6.0","25.7","15.1","7.7",".",".",".",".",".",".","0.2",".","."
"","130
001","28","3.089","28.6","14.3","28.6","10.7","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"","002
130","22","3.523","40.9","27.3","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
130","18","3.528","33.3","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
004","32","3.750","65.6","18.8","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","100","3.475","44.0","23.0","24.0","4.0","4.0","1.0",".",".",".",".",".",".",".",".",".","."
"","131
001","25","2.896","32.0","4.0","16.0","8.0","32.0","4.0",".",".",".",".",".",".",".","4.0",".","."
"","131
002","27","3.056","37.0","7.4","14.8","25.9","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"","003
131","27","2.981","25.9","22.2","25.9","3.7","11.1","7.4","3.7",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","79","2.981","31.6","11.4","19.0","12.7","16.5","6.3","1.3",".",".",".",".",".",".","1.3",".","."
"","132
001","22","3.386","36.4","22.7","31.8",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","132
002","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
003","19","3.579","52.6","15.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","61","3.492","41.0","24.6","29.5","1.6","3.3",".",".",".",".",".",".",".",".",".",".","."
"","141
001","16","2.813","25.0","6.3","31.3","6.3","18.8","12.5",".",".",".",".",".",".",".",".",".","."
"","141
002","34","2.574","14.7","14.7","14.7","17.6","23.5","11.8","2.9",".",".",".",".",".",".",".",".","."
"Topics in College Math","Course Total","50","2.650","18.0","12.0","20.0","14.0","22.0","12.0","2.0",".",".",".",".",".",".",".",".","."
"","210
001","293","3.098","31.1","12.3","33.4","6.5","10.2","4.4","1.7",".",".",".",".",".",".","0.3",".","."
"","210
002","208","2.817","18.8","18.3","23.1","14.4","15.4","6.7","3.4",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","501","2.981","25.9","14.8","29.1","9.8","12.4","5.4","2.4",".",".",".",".",".",".","0.2",".","."
"","211
001","202","2.741","20.8","13.4","18.8","16.3","20.3","5.0","5.0",".",".",".",".",".",".","0.5",".","."
"","211
002","185","2.378","10.8","8.6","21.6","11.9","28.1","13.5","5.4",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","387","2.567","16.0","11.1","20.2","14.2","24.0","9.0","5.2",".",".",".",".",".",".","0.3",".","."
"","213
002","37","2.419","21.6","2.7","10.8","5.4","43.2","13.5","2.7",".",".",".",".",".",".",".",".","."
"","213
003","22","2.591","9.1","9.1","31.8","27.3","9.1","9.1","4.5",".",".",".",".",".",".",".",".","."
"","004
213","33","3.121","33.3","18.2","18.2","12.1","12.1","6.1",".",".",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","Course Total","92","2.712","22.8","9.8","18.5","13.0","23.9","9.8","2.2",".",".",".",".",".",".",".",".","."
"","221
001","172","2.608","19.8","11.0","19.8","12.2","20.3","11.0","5.2",".",".",".",".",".",".","0.6",".","."
"","002
221","204","2.360","18.6","2.5","27.0","2.0","28.9","9.3","11.8",".",".",".",".",".",".",".",".","."
"","005
221","39","2.013","15.4",".","15.4","7.7","17.9","33.3","7.7",".",".",".",".",".",".","2.6",".","."
"","006
221","33","2.500","18.2","15.2","24.2","6.1","9.1","3.0","18.2",".",".",".",".",".",".","6.1",".","."
"Calculus&Analytic Geometry","Course Total","448","2.436","18.8","6.5","23.0","6.7","23.2","11.6","9.4",".",".",".",".",".",".","0.9",".","."
"","222
001","26","2.827","15.4","23.1","38.5","3.8","3.8","7.7","7.7",".",".",".",".",".",".",".",".","."
"","002
222","175","2.769","18.9","14.3","24.0","12.6","22.3","3.4","4.6",".",".",".",".",".",".",".",".","."
"","222
003","35","2.265","8.6","11.4","14.3","17.1","25.7","8.6","11.4",".",".",".",".",".",".","2.9",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 244 of 375",""
