"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"990
Research-Phycology","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991
Research-Plant Anat/Morphol","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".","14.3",".",".",".","."
"995","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","10","4.000","50.0",".",".",".",".",".",".","10.0",".",".",".","40.0",".",".",".","."
"999
Independent Work","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"BOTANY
208","Dept. Total","","893","3.065","33.4","15.3","21.9","9.2","13.7","2.7","1.9","1.1",".","0.1",".","0.6",".","0.1",".","."
