"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Rehab Cnsn Psych-Job Placmt","001","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"754
Assess-Learning Disabil","001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"756
Meth & Curric-Lrn Dis (Sec)","001","","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"763
Pract-Learning Dis (Elem)","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"764
Pract-Learning Dis (Second)","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"802
Spec St-Indiv w/Disablties","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Rehab Cnslg Psy-Theor & Iss","001","","15","3.609","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"860","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","23","3.886","73.9","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"880","001","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"880","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 1","Course Total","","13","3.914","76.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"890","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 2","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Indv/Dsblty:Etiol&Develpmnt","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"902","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indv/Disblty:Educ&Soc Iss","Course Total","","5","***","","","","","","","","","","","","","","","",""
"903
Psychosocial Thry&Research","007","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"904","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Special Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"910
Rehab Cnsl Psych-Internship","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Rehab Cnsl Psych-Cnsl Supvn","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 82 of 375"
