"TERM : 0974","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1996-97","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","",""
"ELPA
Dept. Total
305","452","3.928","80.5","8.8","2.4","0.2","",".","",".","",".","2.9","",".",".","",".","3.3","",".","0.7","0.2","0.9"
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","6","3.667","66.7",".","33.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","18","3.778","66.7","22.2","11.1",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","26","3.769","69.2","15.4","15.4",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","52","3.966","84.6","5.8",".",".","",".","",".","",".",".","",".",".","",".",".","",".","1.9","1.9","5.8"
"Graduate","373","3.927","80.7","8.8","1.9","0.3","",".","",".","",".","3.5","",".",".","",".","4.0","",".","0.5",".","0.3"
"Prof Yr 2","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Dept. Total","452","3.928","80.5","8.8","2.4","0.2","",".","",".","",".","2.9","",".",".","",".","3.3","",".","0.7","0.2","0.9"
