"MANAGEMENT AND HUMAN RE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"Innovatn&Technolgy Managmnt","Course Total","","69","3.507","29.0","43.5","27.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Small Business Planning","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Barg,Negot,Dispute Settlmnt","001","","24","3.705","41.7","45.8","4.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"731
Organizational Intervention","001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"774
Seminar-Arts Administration","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"799","056","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","25","4.000","88.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","8.0"
"871
Smr-Personnel Management","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Smr-Org Behavior & Design","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","4","***","","","","","","","","","","","","","","","",""
