"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY
132","Dept. Total","202","3.378","47.5","17.3","18.3","5.4","5.4","",".","1.5","4.0","",".",".","",".","",".","",".",".",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","2.870","23.1","7.7","23.1","15.4","30.8","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","19","2.985","26.3","15.8","31.6","15.8","5.3","",".","5.3",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.133","36.4","18.2","24.2","3.0","15.2","",".","3.0",".","",".",".","",".","",".","",".",".",".","."
"Senior","","57","3.370","42.1","21.1","24.6","8.8",".","",".","1.8",".","",".",".","",".","",".","",".",".",".","1.8"
"Undergraduates","","122","3.170","36.1","18.0","25.4","9.0","8.2","",".","2.5",".","",".",".","",".","",".","",".",".",".","0.8"
"Special","","4","3.000","25.0",".","25.0",".","25.0","",".",".","25.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","76","3.824","67.1","17.1","6.6",".",".","",".",".","9.2","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","202","3.378","47.5","17.3","18.3","5.4","5.4","",".","1.5","4.0","",".",".","",".","",".","",".",".",".","0.5"
