"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","1998","3.305","38.2","19.0","22.9","9.4","6.2","0.8","0.4","1.1","",".","1.6",".","0.3","",".",".",".","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","687","3.188","32.9","17.2","25.8","13.4","8.9","0.4",".","0.1","",".","1.3",".",".","",".",".",".","."
"Sophomore","","529","3.161","24.2","20.8","35.7","12.1","5.3","0.9","0.6",".","",".","0.4",".",".","",".",".",".","."
"Junior","","199","3.493","47.7","32.2","12.6","3.5","3.0",".","1.0",".","",".",".",".",".","",".",".",".","."
"Senior","","196","3.087","30.6","20.9","18.9","10.7","13.3","3.6","1.5",".","",".",".",".",".","",".",".",".","0.5"
"Undergraduates","","1611","3.217","31.6","20.7","26.6","11.4","7.5","0.9","0.5","0.1","",".","0.7",".",".","",".",".",".","0.1"
"Special","","6","3.143","33.3",".","16.7","33.3","16.7",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","210","3.942","80.5","4.3","2.4",".",".",".",".","10.0","",".",".",".","2.9","",".",".",".","."
"Prof Yr 1","","97","3.440","35.1","27.8","23.7","2.1","2.1",".",".",".","",".","9.3",".",".","",".",".",".","."
"Prof Yr 2","","58","3.882","69.0","12.1","1.7",".",".",".",".",".","",".","17.2",".",".","",".",".",".","."
"Prof Yr 3","","6","3.867","66.7","16.7",".",".",".",".",".",".","",".","16.7",".",".","",".",".",".","."
"Prof Yr 4","","10","3.885","60.0","30.0",".",".",".",".",".",".","",".","10.0",".",".","",".",".",".","."
"Professionals","","171","3.718","49.1","22.2","14.0","1.2","1.2",".",".",".","",".","12.3",".",".","",".",".",".","."
"","College Total","1998","3.305","38.2","19.0","22.9","9.4","6.2","0.8","0.4","1.1","",".","1.6",".","0.3","",".",".",".","0.1"
