"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","368
001","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
368","","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","","71","3.824","69.0","26.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
369","","24","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
369","","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","","71","3.838","73.2","21.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","22","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","","71","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","22","3.818","81.8","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","27","3.741","92.6",".",".",".",".","3.7","3.7",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","","49","3.776","87.8","2.0","4.1","2.0",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"","001
372","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
372","","27","3.796","85.2","3.7","3.7",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","","49","3.867","87.8","6.1","2.0",".","4.1",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","399
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.820","75.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Student Teaching in Chinese","407
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching-Japanese","408
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Child Lit-Elem & Middl","422
001","","57","3.965","96.5","1.8",".","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Lit for Schools","431
002","","21","3.595","57.1","14.3","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Student Teaching in French","446
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Teaching in German","447
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in Latin","455
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in Spanish","456
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","68","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 87 of 375"
