"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"462
Anthropology of South Asia","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Goddesses & Feminine Powers","001","","9","3.333","55.6","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"474
Third Year Nepali","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"507
Advanced Telugu","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Tibetan Literature","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"616
Prob&Meth-Study of Religion","001","","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"630
Proseminar","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","7","3.159","14.3","42.9","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","3.447","35.7","28.6","21.4",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.875","57.1","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".",".","14.3"
"851
Civs of India-Classical Per","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"866
Spec Topics-South Asian St","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"873
Smr-Lang & Lit of S Asia","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Seminar-Buddhist Logic","001","","11","3.750","27.3",".","9.1",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","4.000","52.4",".",".",".",".",".",".","33.3",".",".",".","14.3",".",".",".","."
