"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","72","3.479","52.8","19.4","16.7","2.8","1.4","4.2","1.4","1.4",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","58","3.103","22.4","17.2","27.6","24.1","8.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Simulation","322","001","","26","2.981","19.2","19.2","23.1","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Stochastic Modelg","324","001","","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","60","3.433","38.3","21.7","30.0","8.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","28","3.446","39.3","28.6","17.9","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"Theory of Design I","466","002","","32","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design","476","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","54","3.387","29.6","27.8","29.6","11.1",".",".",".","1.9",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Risk Anal Nuc Pwr Plnt","574","001","","6","3.625","16.7","50.0",".",".",".",".",".","16.7",".",".",".",".",".","16.7",".","."
"Facilities Location Models","578","001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Program Evaluation Sys","610","001","","16","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Systems Modeling","611","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Decision Supp Syst","619","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","31","3.581","38.7","38.7","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sim Model&Analy-Ind Eng Sys","642","001","","31","3.758","67.7","16.1","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociotechnical Systems","652","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced CAD/CAM","655","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Human Factors","692","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Quantitative Methods","693","001","","16","3.467","31.3","25.0","37.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","29","3.086","20.7","24.1","24.1","17.2","13.8",".",".",".",".",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","7","3.921","71.4","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"","699","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","65","3.662","46.2","12.3","12.3","7.7","6.2",".",".","10.8",".",".",".","1.5",".",".",".","3.1"
"Adv Mthds-Quality Improvmnt","715","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamic Prog & Assoc Topics","723","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Progm Algorithms","730","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 128 of 375",""
