"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","19","3.789","73.7","21.1",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","14","3.214","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","92","3.587","47.8","28.3","18.5","4.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","17","2.912","17.6","17.6","35.3","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reporting","001
204","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","20","3.350","45.0","30.0","5.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","212
002","","18","3.250","27.8","33.3","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","212
003","","19","3.684","73.7","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","212
004","","10","2.900","10.0","30.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Intro-Scientif/Business Com","Course Total","","67","3.351","43.3","28.4","14.9","6.0","1.5",".","6.0",".",".",".",".",".",".",".",".","."
"Intro-Practical Photography","260
001","","12","3.591","25.0","58.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","299
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.500","77.8",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","360
001","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Retrieval-Ag&Life Sci","367
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","9","3.556","55.6",".","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.742","65.2","13.0","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","399
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Agricultural Advertising","431
001","","14","3.393","28.6","42.9","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","","15","3.633","60.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Publicity Media and Methods","515
001","","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Publicatn,Illustratn&Layout","001
530","","14","3.321","14.3","35.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.907","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
