"","999
064","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
084","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
086","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Work","Course Total","34","3.978","64.7","2.9",".",".",".",".",".","32.4","",".",".","",".",".","",".",".",".","."
"HISTORY
448","Dept. Total","3816","3.213","23.8","26.4","26.1","10.9","5.4","0.8","1.0","4.1","",".","0.1","",".","0.6","",".","0.4","0.1","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","414","3.042","10.9","29.5","32.4","16.7","6.8","1.2","1.7",".","",".",".","",".",".","",".",".","0.2","0.7"
"Sophomore","","804","3.197","18.8","30.1","32.1","11.2","6.3","0.4","0.5",".","",".",".","",".",".","",".","0.5",".","0.1"
"Junior","","896","3.169","21.2","28.1","30.6","11.2","5.0","0.9","1.9","0.6","",".",".","",".",".","",".","0.4",".","0.1"
"Senior","","1236","3.164","20.4","28.2","25.7","12.3","6.6","1.2","0.8","3.6","",".","0.2","",".","0.1","",".","0.5",".","0.5"
"Undergraduates","","3350","3.157","19.0","28.8","29.4","12.3","6.1","0.9","1.1","1.5","",".","0.1","",".","0.0","",".","0.4","0.0","0.3"
"Special","","55","3.537","30.9","16.4","10.9","5.5",".",".",".","32.7","",".",".","",".",".","",".",".","1.8","1.8"
"Graduate","","410","3.916","61.2","8.3","1.2","0.5",".",".",".","21.2","",".",".","",".","5.1","",".",".","0.2","2.2"
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","3816","3.213","23.8","26.4","26.1","10.9","5.4","0.8","1.0","4.1","",".","0.1","",".","0.6","",".","0.4","0.1","0.6"
